city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,address,longitude,latitude,avg_price
Gapyeong,124776,2015,119324,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,33,18,행정,답,dap,1,1502,54672800,54672800,경기도 건설국 하천과,,경기도 가평군 안전재난과,2004-12-03,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 33 - 18,127.4325,37.737,36400
Gapyeong,124777,2015,119299,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,151,37,행정,대,dae,1,63,16758000,16758000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 151 - 37,127.4282,37.7327,266000
Gapyeong,124778,2015,119300,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,151,38,행정,대,dae,1,99,26334000,26334000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 151 - 38,127.4282,37.7326,266000
Gapyeong,124779,2015,119301,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,151,39,행정,대,dae,1,149,39634000,39634000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 151 - 39,127.4282,37.7325,266000
Gapyeong,124780,2015,119302,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,151,40,행정,대,dae,1,136,36176000,36176000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 151 - 40,127.4282,37.7323,266000
Gapyeong,124781,2015,119303,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,151,41,행정,대,dae,1,144,38304000,38304000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 151 - 41,127.4282,37.7322,266000
Gapyeong,124782,2015,119304,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,151,42,행정,대,dae,1,110,33330000,33330000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 151 - 42,127.4281,37.732,303000
Gapyeong,124783,2015,85741,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,설악면,묵안리,296,2,행정,전,jeon,1,345,2501250,2501250,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1997-03-20,Y,매입,도  로,2007-07-18,경기도 가평군 설악면 묵안리 296 - 2,127.5284,37.6033,7250
Gapyeong,124997,2015,86679,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,45,3,행정,대,dae,1,324,22680000,22680000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1995-01-12,Y,매입,도  로,2007-07-18,경기도 가평군 청평면 청평리 45 - 3,127.4285,37.7265,70000
Gapyeong,124998,2015,83437,토지,행정재산,공용재산,일반회계,일반,경기도 가평군,북면,적목리,27,2,행정,전,jeon,1,4572,43662600,55778400,경기도 경기도산림환경연구소,,,1976-03-15,Y,매입,임야,2007-07-18,경기도 가평군 북면 적목리 27 - 2,127.461,37.9977,9550
Gapyeong,124999,2015,83438,토지,행정재산,공용재산,일반회계,일반,경기도 가평군,북면,적목리,27,3,행정,전,jeon,1,4810,45935500,58682000,경기도 경기도산림환경연구소,,,1976-03-15,Y,매입,임야,2007-07-18,경기도 가평군 북면 적목리 27 - 3,127.4463,37.997,9550
Gapyeong,125000,2015,83439,토지,행정재산,공용재산,일반회계,일반,경기도 가평군,북면,적목리,27,4,행정,임야,forest,1,1835,3670000,20552000,경기도 경기도산림환경연구소,,,1976-03-15,Y,매입,임야,2007-07-18,경기도 가평군 북면 적목리 27 - 4,127.4532,37.996,2000
Gapyeong,125001,2015,83440,토지,행정재산,공용재산,일반회계,일반,경기도 가평군,북면,적목리,27,5,행정,임야,forest,1,2926,5852000,32771200,경기도 경기도산림환경연구소,,,1976-03-15,Y,매입,임야,2007-07-18,경기도 가평군 북면 적목리 27 - 5,127.4582,37.9997,2000
Gapyeong,125002,2015,119328,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,79,104,행정,답,dap,1,353,40595000,40595000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2005-01-31,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 79 - 104,127.4173,37.7355,115000
Gapyeong,125003,2015,159305,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,92,18,이호조,잡종지,random,1,215,27264000,28632400,경기도 건설국 하천과,,경기도 가평군 안전재난과,2010-12-16,Y,매입,가평군 청평면 청평리 92-18,2010-12-31,경기도 가평군 청평면 청평리 92 - 18,127.4204,37.7328,126809.3023
Gapyeong,125004,2015,119293,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,134,71,행정,하천,river,1,1301,24458800,24458800,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-29,Y,매입,,2009-12-18,경기도 가평군 청평면 청평리 134 - 71,127.4284,37.7334,18800
Gapyeong,125005,2015,119294,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,134,73,행정,전,jeon,1,134,45024000,45024000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-29,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 134 - 73,127.4284,37.7336,336000
Gapyeong,125006,2015,119295,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,134,74,행정,대,dae,1,1,293000,293000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-21,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 134 - 74,127.4283,37.733,293000
Gapyeong,125007,2015,119296,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,150,3,행정,답,dap,1,9,771300,771300,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 150 - 3,127.4289,37.7349,85700
Gapyeong,125008,2015,119297,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,151,35,행정,임야,forest,1,724,26932800,26932800,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 151 - 35,127.4282,37.7321,37200
Gapyeong,125009,2015,119298,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,151,36,행정,대,dae,1,48,12384000,12384000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-12,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 151 - 36,127.4282,37.7328,258000
