city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,비고,address,longitude,latitude,avg_price
Namyangju,112070,2015,61678,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,587,6,행정,road,road,1,678,1189552,1189552,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-08-09,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507275],경기도 남양주시 별내면 광jeon리 587 - 6,127.1341,37.6754,1754.501475
Namyangju,79194,2015,186992,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,587,18,행정,road,road,1,1506,2642278,2642278,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2013-09-17,Y,분할취득,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507275],경기도 남양주시 별내면 광jeon리 587 - 18,127.1342,37.676,1754.500664
Namyangju,40990,2015,156310,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,368,13,행정,road,road,1,278,487751,487751,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2009-07-09,Y,분할취득,도  로,2007-07-18,[토지분류코드:GA201][관리dae장코드:2507237],경기도 남양주시 별내면 광jeon리 368 - 13,127.1354,37.6857,1754.5
Namyangju,79268,2015,186968,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,368,16,행정,road,road,1,54,94743,94743,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2013-09-17,Y,분할취득,도  로,2007-07-18,[토지분류코드:GA201][관리dae장코드:2507237],경기도 남양주시 별내면 광jeon리 368 - 16,127.1355,37.6854,1754.5
Namyangju,50027,2015,61640,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,368,9,행정,road,road,1,48,84216,84216,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1983-08-04,Y,매입,도  로,2007-07-18,[토지분류코드:GA201][관리dae장코드:2507237],경기도 남양주시 별내면 광jeon리 368 - 9,127.1354,37.6858,1754.5
Namyangju,50028,2015,156312,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,370,18,행정,road,road,1,36,63162,63162,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2009-09-02,Y,분할취득,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507238],경기도 남양주시 별내면 광jeon리 370 - 18,127.1353,37.6846,1754.5
Namyangju,122733,2015,166880,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,363,32,행정,road,road,1,20,35090,35090,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2011-05-13,Y,분할취득,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507233],경기도 남양주시 별내면 광jeon리 363 - 32,127.1356,37.6843,1754.5
Namyangju,50094,2015,61657,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,420,7,행정,road,road,1,516,905320,905320,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-08-16,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2507254],경기도 남양주시 별내면 광jeon리 420 - 7,127.1352,37.6814,1754.496124
Namyangju,50041,2015,61654,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,417,2,행정,road,road,1,1093,1917650,1917650,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-07-29,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507251],경기도 남양주시 별내면 광jeon리 417 - 2,127.1351,37.6807,1754.483074
Namyangju,50039,2015,61650,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,410,4,행정,ddap,dap,1,76,133340,133340,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1983-11-28,Y,매입,도  로,2007-07-18,[토지분류코드:GA202][관리dae장코드:2507247],경기도 남양주시 별내면 광jeon리 410 - 4,127.135,37.6791,1754.473684
