"","sido","sigungu","total","grade1","grade2","grade2","out_A","out_B","out_C"
"120","경기도","광주시",855,221,191,323,71,20,29
"121","경기도","양주시",803,186,177,364,44,16,16
"122","경기도","포천시",894,187,236,298,104,32,37
"123","경기도","여주군",1098,157,153,416,148,44,180
"124","경기도","연천군",497,123,84,200,43,20,27
"125","경기도","가평군",809,191,165,304,71,22,56
"126","경기도","양평군",726,135,201,270,74,28,18
"127","강원도"," 총계",11366,2630,2452,3757,1274,642,611
"128","강원도","춘천시",2010,581,460,701,168,66,34
"129","강원도","원주시",1675,380,412,571,159,66,87
"130","강원도","강릉시",1231,377,334,489,11,7,13
"131","강원도","동해시",637,113,129,267,84,21,23
"132","강원도","태백시",424,93,73,102,52,30,74
"133","강원도","속초시",496,120,128,172,39,33,4
"134","강원도","삼척시",775,130,127,269,154,42,53
"135","강원도","홍천군",571,143,119,162,59,51,37
"136","강원도","횡성군",499,96,100,137,88,52,26
"137","강원도","영월군",504,72,91,163,70,32,76
"138","강원도","평창군",278,84,66,63,28,10,27
"139","강원도","정선군",286,48,40,83,50,10,55
"140","강원도","철원군",505,93,78,122,95,104,13
"141","강원도","화천군",280,41,53,76,69,34,7
"142","강원도","양구군",248,41,48,83,58,6,12
"143","강원도","인제군",278,58,45,88,44,33,10
"144","강원도","고성군",323,72,70,112,30,23,16
"145","강원도","양양군",346,88,79,97,16,22,44
"146","충북"," 총계",10026,2271,2102,3632,1111,396,514
"147","충북","청주시상당구",1199,304,271,453,112,26,33
"148","충북","청주시흥덕구",1261,364,278,471,87,26,35
"149","충북","충주시",1192,280,245,366,131,69,101
"150","충북","제천시",954,163,189,360,113,41,88
"151","충북","청원군",1174,301,256,421,129,38,29
"152","충북","보은군",513,89,95,175,90,33,31
"153","충북","옥천군",471,111,143,167,30,12,8
"154","충북","영동군",770,108,111,298,138,45,70
"155","충북","증평군",200,45,69,58,20,8,0
"156","충북","진천군",471,114,79,182,58,18,20
"157","충북","괴산군",551,93,135,255,39,11,18
"158","충북","음성군",876,237,170,289,96,40,44
"159","충북","단양군",394,62,61,137,68,29,37
"160","충남"," 총계",14614,3036,3182,5325,1554,842,675
"161","충남","천안시동남구",1001,270,308,369,40,6,8
"162","충남","천안시서북구",800,201,220,340,24,8,7
"163","충남","공주시",1211,213,222,487,114,89,86
"164","충남","보령시",924,181,175,355,96,80,37
"165","충남","아산시",1228,288,256,392,153,71,68
"166","충남","서산시",1078,263,239,340,135,92,9
"167","충남","논산시",1089,245,272,490,47,20,15
"168","충남","계룡시",192,48,49,75,13,3,4
"169","충남","금산군",436,98,119,174,25,14,6
"170","충남","연기군",566,158,165,199,22,13,9
"171","충남","부여군",1141,200,213,429,135,77,87
"172","충남","서천군",1028,138,201,318,165,82,124
"173","충남","청양군",609,84,89,224,91,67,54
"174","충남","홍성군",918,198,177,316,132,66,29
"175","충남","예산군",840,142,156,267,162,56,57
"176","충남","태안군",548,102,133,232,48,23,10
"177","충남","당진군",1005,207,188,318,152,75,65
"178","전북"," 총계",18568,3034,3552,6608,2863,1577,934
