"","X","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude"
"632",3764,2015,167635,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","누산리",1251,1,"행정","답","답",1,92,2208000,2208000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2011-01-18","Y","분할취득","","2008-01-17","","경기도 김포시 양촌읍 누산리 1251 - 1",126.6498,37.6688
"633",3765,2015,174317,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","누산리",1252,2,"이호조","전","전",1,124,28954000,29326470,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2012-04-27","Y","매입","도로토지(누산리1252-2)","2012-05-18","","경기도 김포시 양촌읍 누산리 1252 - 2",126.6491,37.6692
"634",3766,2015,30543,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","누산리",1252,1,"행정","답","답",1,528,29568000,29568000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2002-09-03","Y","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1628603]","경기도 김포시 양촌읍 누산리 1252 - 1",126.6492,37.6688
"635",3767,2015,167637,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","누산리",1252,3,"행정","답","답",1,670,37520000,37520000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2011-05-06","Y","분할취득","도로","2007-07-18","[토지분류코드:][관리대장코드:1628603]","경기도 김포시 양촌읍 누산리 1252 - 3",126.6492,37.6691
"636",3768,2015,179532,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","누산리",1253,6,"이호조","창고용지","창고용지",1,86,30788000,42796500,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2012-09-12","Y","매입","도로토지(누산리 1253-6)","2013-02-14","","경기도 김포시 양촌읍 누산리 1253 - 6",126.6487,37.6694
"637",3769,2015,179533,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","누산리",1253,7,"이호조","창고용지","창고용지",1,37,13246000,13246000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2012-09-12","Y","매입","도로토지(누산리 1253-7)","2013-02-14","","경기도 김포시 양촌읍 누산리 1253 - 7",126.6485,37.6695
"638",3770,2015,179531,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","누산리",1253,8,"이호조","답","답",1,21,4903500,4903500,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2012-09-12","Y","매입","도로토지(누산리 1253-8)","2013-02-14","","경기도 김포시 양촌읍 누산리 1253 - 8",126.6489,37.6693
"639",3771,2015,188492,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",942,1,"이호조","도로","답",1,38,15000,15000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2014-10-28","Y","매입","경기도 김포시 통진읍 서암리 일반번지 942-1번지","2014-12-22","","경기도 김포시 통진읍 서암리 942 - 1",126.604,37.711
"640",3772,2015,188559,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",941,2,"이호조","도로","구거",1,20,15000,15000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2014-10-16","Y","매입","경기도 김포시 통진읍 서암리 일반번지 941-2번지","2014-12-22","","경기도 김포시 통진읍 서암리 941 - 2",126.6033,37.7102
"641",3773,2015,174909,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","학운리",969,1,"이호조","답","답",1,1088.1,170831700,174100130,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2012-04-09","Y","매입","도로토지(양촌읍학운리969-1)토지","2012-06-08","","경기도 김포시 양촌읍 학운리 969 - 1",126.6017,37.6154
"642",3774,2015,174846,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","학운리",991,1,"이호조","전","전",1,70.5,11703260,11703260,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2012-04-13","Y","매입","도로토지(양촌읍학운리 991-1)토지","2012-06-08","","경기도 김포시 양촌읍 학운리 991 - 1",126.6,37.6163
"643",3796,2015,30808,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",940,2,"행정","답","답",1,2181,222875730,222875730,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2005-06-10","Y","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1628868]","경기도 김포시 통진읍 서암리 940 - 2",126.6033,37.711
"644",3797,2015,184675,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",940,3,"이호조","답","답",1,1369,3300000,225547910,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2013-07-18","Y","매입","서암-고정간 도로확포장공사 손실보상계획 공고","2014-02-28","","경기도 김포시 통진읍 서암리 940 - 3",126.6034,37.7108
"645",3798,2015,188560,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",941,1,"이호조","도로","구거",1,170,15000,15000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2014-10-16","Y","매입","경기도 김포시 통진읍 서암리 일반번지 941-1번지","2014-12-22","","경기도 김포시 통진읍 서암리 941 - 1",126.603,37.7104
"646",4087,2015,29802,"토지","일반재산","미등록","일반회계","일반","경기도 김포시","양촌읍","양곡리",491,0,"행정","대","대",1,397,57565000,36682800,"경기도 자치행정국 회계과","","경기도 김포시 행정지원국 회계과","1977-06-20","Y","매입","체육공원","2007-02-16","[토지분류코드:GC008][관리대장코드:100079]","경기도 김포시 양촌읍 양곡리 491 - 0",126.626,37.6599
"647",4115,2015,29803,"토지","일반재산","미등록","일반회계","일반","경기도 김포시","양촌읍","양곡리",493,0,"행정","전","전",1,335,48575000,30954000,"경기도 자치행정국 회계과","","경기도 김포시 행정지원국 회계과","1976-10-21","Y","매입","체육공원","2006-08-21","[토지분류코드:GC001][관리대장코드:100080]","경기도 김포시 양촌읍 양곡리 493 - 0",126.6264,37.6606
"648",4116,2015,29805,"토지","일반재산","미등록","일반회계","일반","경기도 김포시","양촌읍","양곡리",493,2,"행정","전","전",1,536,77720000,49526400,"경기도 자치행정국 회계과","","경기도 김포시 행정지원국 회계과","1976-10-21","Y","매입","체육공원","2007-02-16","[토지분류코드:GC001][관리대장코드:100082]","경기도 김포시 양촌읍 양곡리 493 - 2",126.6264,37.6601
"649",4117,2015,29806,"토지","일반재산","미등록","일반회계","일반","경기도 김포시","양촌읍","양곡리",493,3,"행정","임야","임야",1,65,6630000,3926000,"경기도 자치행정국 회계과","","경기도 김포시 행정지원국 회계과","1972-01-12","Y","매입","체육공원","2007-02-16","[토지분류코드:GC005][관리대장코드:100083]","경기도 김포시 양촌읍 양곡리 493 - 3",126.6261,37.6602
"650",4118,2015,29810,"토지","일반재산","미등록","일반회계","일반","경기도 김포시","양촌읍","양곡리",494,0,"행정","전","전",1,383,55535000,35389200,"경기도 자치행정국 회계과","","경기도 김포시 행정지원국 회계과","1972-01-12","Y","매입","체육공원","2007-02-16","[토지분류코드:GC001][관리대장코드:100087]","경기도 김포시 양촌읍 양곡리 494 - 0",126.6265,37.6599
"651",4119,2015,29811,"토지","일반재산","미등록","일반회계","일반","경기도 김포시","양촌읍","양곡리",495,0,"행정","전","전",1,402,58290000,37144800,"경기도 자치행정국 회계과","","경기도 김포시 행정지원국 회계과","1976-10-21","Y","매입","체육공원","2007-12-11","[토지분류코드:GC001][관리대장코드:100088]","경기도 김포시 양촌읍 양곡리 495 - 0",126.6267,37.6601
"652",4120,2015,175862,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",497,3,"행정","답","답",1,573,45000176,73917000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2011-10-21","Y","분할취득","도로","2008-02-20","무상귀속 대상(1,219㎡)","경기도 김포시 양촌읍 양곡리 497 - 3",126.6271,37.6604
"653",4121,2015,175863,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",497,4,"행정","답","답",1,756,59371960,97524000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2011-10-21","Y","분할취득","도로","2008-02-20","무상귀속 대상(1,219㎡)","경기도 김포시 양촌읍 양곡리 497 - 4",126.6277,37.6604
"654",4122,2015,180939,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",632,1,"이호조","도로","도로",1,7,729300,2654300,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2013-04-29","Y","매입","도로토지((양곡리 632-1)","2013-06-27","","경기도 김포시 양촌읍 양곡리 632 - 1",126.6357,37.6637
"655",4123,2015,105596,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",1,1,"행정","도로","도로",1,1772,127761200,127761200,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1994-05-25","Y","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 1 - 1",126.6383,37.669
"656",4124,2015,105595,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",10,3,"행정","도로","도로",1,195,836550,836550,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2000-08-28","Y","매입","","2009-12-23","","경기도 김포시 양촌읍 양곡리 10 - 3",126.6386,37.6676
"657",4125,2015,29830,"토지","행정재산","공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",1231,0,"행정","대","대",1,1159.4,111882100,111882100,"경기도 재난안전본부 소방행정과","경기도 김포소방서","","2003-09-08","Y","매입","양촌파출소","2007-12-10","[토지분류코드:][관리대장코드:2000027]","경기도 김포시 양촌읍 양곡리 1231 - 0",126.6223,37.6582
"658",4126,2015,105597,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",1233,0,"행정","도로","도로",1,44.99,1000702000,1000702000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2003-09-08","Y","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 1233 - 0",126.622,37.6565
"659",4127,2015,105598,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",1233,1,"행정","도로","도로",1,0.01,2170,2170,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2003-09-08","Y","매입","","2009-12-23","","경기도 김포시 양촌읍 양곡리 1233 - 1",126.622,37.6565
"660",4128,2015,105599,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",126,3,"행정","답","답",1,31,2104900,2104900,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1999-04-28","Y","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 126 - 3",126.6346,37.6685
"661",4129,2015,105600,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",127,0,"행정","도로","도로",1,2683,182175700,182175700,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1994-09-28","Y","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 127 - 0",126.6346,37.6687
"662",4130,2015,105601,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",130,1,"행정","도로","도로",1,3366,56885400,56885400,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1994-04-14","Y","매입","","2009-12-23","","경기도 김포시 양촌읍 양곡리 130 - 1",126.6329,37.6685
"663",4131,2015,105602,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",132,1,"행정","답","답",1,350,23765000,23765000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1999-05-11","Y","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 132 - 1",126.6329,37.6683
"664",4132,2015,105603,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",134,3,"행정","답","답",1,893,60634700,60634700,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-06-16","Y","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 134 - 3",126.6319,37.6681
"665",4152,2015,182795,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",617,17,"이호조","대","대",1,87,41499000,41514000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2013-09-02","Y","매입","도로토지(서암리 617-17)","2013-09-17","","경기도 김포시 통진읍 서암리 617 - 17",126.6099,37.6971
"666",4153,2015,183467,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",618,0,"이호조","대","대",1,34,15000,17122000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2013-11-22","Y","매입","도로토지(서암리 618)","2013-11-27","","경기도 김포시 통진읍 서암리 618 - 0",126.6092,37.6975
"667",4154,2015,30801,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",618,6,"행정","임야","임야",1,180,79828200,79828200,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2005-06-14","Y","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1628861]","경기도 김포시 통진읍 서암리 618 - 6",126.6093,37.6974
"668",4155,2015,30802,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",618,8,"행정","대","대",1,798,460827410,806271320,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2005-06-10","Y","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1628862]","경기도 김포시 통진읍 서암리 618 - 8",126.6093,37.6975
"669",4156,2015,146757,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",618,9,"이호조","공장용지","공장용지",1,21,8368000,8368000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2008-05-19","Y","매입","고정~서암간도로확포장","2010-01-21","","경기도 김포시 통진읍 서암리 618 - 9",126.6093,37.6976
"670",4157,2015,146362,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","서암리",618,10,"이호조","공장용지","공장용지",1,187,74278000,76789800,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2008-05-19","Y","매입","고정~서암간도로확포장","2010-01-21","","경기도 김포시 통진읍 서암리 618 - 10",126.6089,37.6975
