name,sub2,clustercut,longitude,latitude
719,109112,2,127.2234,37.5298
720,123328,2,127.2236,37.5299
721,152283,2,127.2242,37.5305
722,152257,2,127.2246,37.5311
723,152797,2,127.2305,37.4955
724,152789,2,127.2304,37.4956
726,152845,2,127.231,37.4946
727,187529,2,127.2249,37.5311
728,187530,2,127.225,37.5311
731,123326,2,127.225,37.5314
732,187533,2,127.2328,37.5324
733,42658,2,127.2333,37.5431
734,42468,2,127.2313,37.5427
735,42660,2,127.2355,37.5427
736,42807,2,127.2341,37.5428
737,42661,2,127.2347,37.5427
738,42659,2,127.232,37.5433
739,42808,2,127.2304,37.5405
740,42809,2,127.2301,37.5397
741,42663,2,127.2299,37.5398
742,42665,2,127.2302,37.5398
743,42669,2,127.2296,37.5389
744,42670,2,127.2295,37.5386
745,42810,2,127.2297,37.5393
746,42668,2,127.23,37.5394
747,123312,1,127.19,37.4954
748,123315,1,127.1898,37.4951
749,109234,1,127.1893,37.4936
750,177821,4,127.1758,37.5342
751,167529,4,127.1757,37.5342
752,152793,4,127.1762,37.5363
753,152795,4,127.1761,37.5362
756,42404,4,127.1677,37.5159
757,177820,4,127.1765,37.5368
758,109154,4,127.1758,37.5354
759,177822,4,127.1757,37.5339
760,187534,4,127.1746,37.5428
761,152781,4,127.1743,37.5435
762,123245,4,127.1742,37.5439
763,152782,4,127.1748,37.5452
764,152785,4,127.1746,37.5452
765,152788,4,127.1743,37.5447
766,152790,4,127.1745,37.5436
767,123246,4,127.1744,37.5441
768,123247,4,127.1748,37.5452
769,177819,4,127.1758,37.5353
770,90576,1,127.2204,37.5398
771,189844,1,127.2046,37.5523
772,90575,4,127.1677,37.5159
773,109214,2,127.2299,37.5014
774,123355,2,127.2309,37.4995
775,152862,2,127.2282,37.5018
776,123354,2,127.2312,37.5
777,123353,2,127.2308,37.5011
778,109211,2,127.2299,37.5055
779,109212,2,127.2297,37.5054
780,42799,2,127.2281,37.5066
781,152285,2,127.229,37.5044
782,152284,2,127.2286,37.5039
783,167530,2,127.2286,37.504
784,123365,2,127.2288,37.5038
785,152267,2,127.2282,37.5024
786,152268,2,127.2282,37.5031
787,152266,2,127.2282,37.5028
788,109213,2,127.23,37.5014
789,123361,2,127.2297,37.5073
790,109196,2,127.2281,37.5103
791,109191,2,127.2285,37.5102
792,109192,2,127.2288,37.5099
793,152278,2,127.2288,37.51
794,123360,2,127.2291,37.5098
797,152273,2,127.2292,37.5097
798,152262,2,127.2279,37.5104
799,109193,2,127.2285,37.5101
800,109194,2,127.2288,37.5099
801,152274,2,127.229,37.5097
802,152275,2,127.2294,37.5093
803,152276,2,127.2298,37.5086
804,152866,2,127.2325,37.4931
805,152844,2,127.2325,37.4931
806,152846,2,127.2326,37.493
807,42617,2,127.2343,37.4933
808,42616,2,127.2433,37.4799
809,152804,2,127.2318,37.4905
810,152823,2,127.2322,37.4913
811,152806,2,127.2325,37.4933
812,152865,2,127.2318,37.494
813,152851,2,127.2313,37.4949
814,152794,2,127.2316,37.5001
815,152822,2,127.2312,37.4996
816,152842,2,127.2305,37.4965
817,152839,2,127.2304,37.4962
818,152840,2,127.2306,37.4961
819,152277,2,127.2281,37.502
820,152271,2,127.228,37.502
821,152269,2,127.2277,37.5024
822,109215,2,127.2306,37.5016
823,152263,2,127.2291,37.5016
824,109216,2,127.2304,37.5016
825,42831,2,127.2229,37.5255
826,157824,2,127.2228,37.5256
827,109091,2,127.2321,37.4909
828,109092,2,127.2323,37.4912
829,152817,2,127.2318,37.4909
