"asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
55559,126.9003,37.6758,"3",0.99,0.99,0,3,0,0,0,0,0,0,1,0,0,0,2,2,15,0,0,0
55558,126.9001,37.6755,"1",0.99,0.99,0,3,0,0,0,0,0,0,1,0,0,0,2,2,15,0,0,0
55545,126.7949,37.6209,"4",2.55,2.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0
168944,126.787,37.6283,"1",16.1,16.1,0,2,0,0,0,0,3,0,0,0,2,0,1,0,21,2,0,0
55546,126.7941,37.6216,"4",2.55,2.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
55547,126.7937,37.6219,"1",1.51,1.51,0,1,0,0,0,0,1,0,0,0,0,0,1,0,9,0,0,0
55548,126.7929,37.6235,"1",1.51,1.51,0,1,0,0,0,0,1,0,0,0,1,0,1,0,14,0,0,0
181446,126.8964,37.6706,"1",12.05,13.5028244274809,1,2,7,3,4,0,0,0,0,0,3,0,4,0,51,7,3,2
55554,126.8956,37.6705,"4",1.51,1.51,1,3,8,3,12,0,0,0,1,0,5,0,4,0,68,10,7,4
55555,126.8939,37.6702,"4",1.51,1.51,1,4,10,3,14,0,0,0,2,0,8,0,4,0,87,11,9,5
183019,126.8952,37.6702,"1",12.05,12.05,1,4,8,3,14,0,0,0,2,0,5,0,4,0,79,10,9,5
183028,126.8942,37.67,"3",12.05,12.05,1,4,10,3,14,0,0,0,2,0,8,0,4,0,89,11,9,5
183020,126.8944,37.6703,"4",12.05,12.05,1,4,9,3,14,0,0,0,2,0,7,0,4,0,83,10,9,5
183012,126.8932,37.67,"3",12.05,12.05,1,5,10,3,14,0,0,0,2,0,9,0,3,0,100,13,9,5
183025,126.8925,37.6699,"1",12.05,12.05,1,5,10,3,14,0,0,0,2,0,10,0,4,0,101,13,11,5
183024,126.8926,37.6701,"4",12.05,12.05,1,5,10,3,14,0,0,0,2,0,9,0,4,0,102,13,10,5
183027,126.8924,37.6698,"1",12.05,12.05,1,6,10,3,14,0,0,0,2,0,10,0,4,0,103,13,11,5
183026,126.893,37.6701,"4",12.05,12.05,1,5,10,3,14,0,0,0,2,0,9,0,4,0,97,13,9,5
55556,126.905,37.6773,"4",0.103300492610837,0.103300492610837,0,3,1,0,0,0,2,0,1,0,0,0,2,1,12,2,0,0
55557,126.9047,37.6774,"3",0.99,0.99,0,3,1,0,0,0,1,0,1,0,0,0,2,1,13,1,0,0
58108,126.8462,37.5866,"3",0.9,0.9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
58109,126.847,37.5864,"1",0.9,0.9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
55258,126.8435,37.6151,"4",42.8579995420546,42.8579995420546,1,26,75,14,90,14,1,2,13,2,84,7,2,2,523,51,47,20
168879,126.8458,37.6136,"4",80,80,1,12,54,10,53,9,1,1,8,0,57,2,4,0,255,25,40,16
58111,126.8758,37.5969,"1",17.2,17.2,1,6,7,2,1,1,4,1,2,1,10,3,2,1,51,6,0,3
177449,126.8757,37.597,"1",21,21,1,6,7,2,1,1,4,1,2,1,10,3,2,1,51,6,0,3
58112,126.8761,37.5971,"1",13.6,13.6,1,6,6,2,1,1,4,1,2,1,9,3,2,1,50,6,0,3
58110,126.847,37.5863,"1",0.9,0.9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
55777,126.8473,37.5859,"1",4.04,4.04,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
55776,126.8473,37.586,"1",4.04,4.04,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
55778,126.834,37.5954,"1",0.9,0.9,0,0,0,0,0,1,1,0,0,2,1,0,3,0,34,5,0,0
55779,126.8344,37.5945,"4",0.9,0.9,0,0,0,0,0,0,0,0,0,1,1,0,2,0,27,4,0,0
55783,126.8339,37.5951,"4",0.9,0.9,0,0,0,0,0,1,1,0,0,2,1,0,3,0,33,5,0,0
55784,126.833,37.5953,"1",0.9,0.9,0,0,0,0,0,1,1,0,0,2,1,0,3,0,33,6,0,0
55785,126.8342,37.5935,"1",4.42,4.42,0,0,0,0,0,0,0,0,0,1,0,0,2,0,14,2,0,0
55780,126.8329,37.5953,"3",0.9,0.9,0,0,0,0,0,1,1,0,0,2,1,0,3,0,34,6,0,0
55781,126.8339,37.5939,"3",4.42520833333333,4.42520833333333,0,0,0,0,0,0,0,0,0,1,0,0,2,0,23,4,0,0
55782,126.8329,37.5952,"1",0.9,0.9,0,0,0,0,0,1,1,0,0,2,1,0,3,0,33,6,0,0
112506,126.834,37.594,"4",5.61,5.61,0,0,0,0,0,0,0,0,0,1,0,0,2,0,22,4,0,0
112507,126.8339,37.5939,"1",5.61,5.61,0,0,0,0,0,0,0,0,0,1,0,0,2,0,23,4,0,0
56274,126.8779,37.5956,"1",24.453,24.453,2,4,6,1,0,1,3,0,1,0,10,2,2,1,52,4,0,3
55549,126.7937,37.6226,"4",1.51,1.51,0,1,0,0,0,0,1,0,0,0,0,0,2,0,12,0,0,0
91729,126.7942,37.6218,"1",2.55,2.55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0
112235,126.7941,37.6218,"1",13.2,13.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0
170899,126.877,37.5864,"4",82,82,1,12,21,4,24,3,4,0,9,1,31,3,1,1,94,22,12,3
57620,126.9206,37.6564,"3",16.15,16.15,0,0,2,1,0,0,2,0,0,0,3,1,2,0,6,2,0,0
155984,126.9206,37.6563,"1",16.15,16.15,1,0,2,1,0,0,2,0,0,0,3,1,2,0,6,2,0,0
57009,126.9202,37.6628,"4",0.9,0.9,0,0,2,0,0,0,2,0,0,0,0,0,5,0,5,1,0,0
57623,126.9207,37.6555,"2",17.15,17.15,1,0,2,1,0,1,2,0,0,0,5,1,2,0,6,2,0,0
57624,126.9209,37.656,"1",6.77,6.77,1,0,2,1,0,0,2,0,0,0,4,1,2,0,6,2,0,0
57625,126.92,37.6578,"1",16.15,16.15,0,0,2,1,0,0,2,0,0,0,1,1,3,0,5,1,0,0
57626,126.9206,37.6569,"2",16.1498381877023,16.1498381877023,0,0,2,1,0,0,2,0,0,0,2,1,2,0,6,2,0,0
57627,126.9205,37.6571,"1",16.15,16.15,0,0,2,1,0,0,2,0,0,0,2,1,2,0,6,2,0,0
57628,126.9203,37.6575,"4",16.1499561787905,16.1499561787905,0,0,2,1,0,0,2,0,0,0,1,1,3,0,6,2,0,0
57629,126.9199,37.6582,"3",13.5,13.5,0,0,2,1,0,0,2,0,0,0,1,1,3,0,5,1,0,0
57630,126.9201,37.6576,"1",13.5,13.5,0,0,2,1,0,0,2,0,0,0,1,1,3,0,5,1,0,0
57631,126.9193,37.6602,"1",10,10,0,0,2,0,0,0,2,0,0,0,0,1,4,0,5,1,0,0
112394,126.9195,37.6597,"2",14.1,14.1,0,0,2,1,0,0,2,0,0,0,0,1,5,0,5,1,0,0
112395,126.9197,37.6588,"1",14.1,14.1,0,0,2,1,0,0,2,0,0,0,0,1,3,0,5,1,0,0
57632,126.9197,37.6599,"1",12.7497267759563,12.7497267759563,0,0,2,1,0,0,2,0,0,0,0,1,5,0,5,1,0,0
55552,126.795,37.6202,"1",2.55,2.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0
55553,126.7944,37.6205,"4",2.55,2.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
55550,126.7944,37.6219,"4",2.55,2.55,0,1,0,0,0,0,1,0,0,0,0,0,1,0,11,0,0,0
55551,126.7952,37.6206,"4",2.55,2.55,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0
169358,126.7848,37.6286,"1",15.4,15.4,0,3,0,0,0,0,3,0,0,0,2,0,1,0,23,2,0,0
57633,126.9198,37.6596,"3",12.7499058380414,12.7499058380414,0,0,2,1,0,0,2,0,0,0,0,1,4,0,5,1,0,0
57953,126.8249,37.6042,"1",1.5,1.5,0,3,2,1,2,4,5,0,1,2,2,0,3,0,125,18,0,0
112488,126.824,37.6044,"1",18.2,44.1168,0,3,2,1,2,5,5,0,1,1,2,0,3,0,126,18,0,0
