"","asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"x596",187099,127.5285,37.8587,"1",2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0
"x597",186651,127.5249,37.8577,"1",2.1,2.1,0,0,1,1,0,1,0,0,0,1,0,0,3,4,6,1,0,0
"x598",186662,127.5267,37.8579,"4",1.1,1.10499045941582,0,0,0,0,0,1,0,0,0,0,0,0,2,3,6,0,0,0
"x599",83310,127.5056,37.8744,"4",0.0999,0.0979,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"x600",83311,127.5021,37.8773,"4",0.0999,0.0979,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"x601",83312,127.5202,37.8573,"4",0.0999,0.0979,0,0,1,1,0,1,0,0,0,1,0,0,3,6,6,1,0,0
"x602",83313,127.4989,37.8758,"4",0.0999,0.0979,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"x603",83314,127.4999,37.8725,"4",0.0999,0.0979,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"x604",84185,127.5112,37.7427,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,2,0,5,26,10,1,0,0
"x605",84239,127.5081,37.7383,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,28,10,0,0,0
"x606",84240,127.5082,37.7387,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,28,10,0,0,0
"x607",84241,127.5081,37.7387,"2",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,28,10,0,0,0
"x608",84242,127.5081,37.7384,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,28,9,0,0,0
"x609",84243,127.5082,37.7387,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,28,10,0,0,0
"x610",83290,127.508,37.737,"4",3.95,3.95,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x611",84245,127.506,37.7354,"1",0.875,0.875,0,0,0,0,0,0,0,0,0,1,1,0,7,24,10,0,0,0
"x612",84247,127.506,37.7354,"1",0.256938775510204,0.256938775510204,0,0,0,0,0,0,0,0,0,1,1,0,7,24,10,0,0,0
"x613",84248,127.5061,37.7355,"3",0.875,0.875,0,0,0,0,0,0,0,0,0,1,1,0,7,24,10,0,0,0
"x614",84251,127.5048,37.7324,"2",0.43189349112426,0.43189349112426,0,0,0,0,0,0,0,0,0,0,1,0,6,18,10,0,0,0
"x615",180308,127.541,37.87,"3",4.33153846153846,4.33153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
"x616",180300,127.5418,37.8694,"1",7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
"x617",83938,127.5365,37.8694,"1",0.845989304812834,0.845989304812834,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
"x618",83939,127.5366,37.8695,"1",0.606,0.606,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0
"x619",183352,127.5393,37.8707,"1",3.60772532188841,3.60772532188841,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"x620",180324,127.5398,37.8706,"1",5.585,5.585,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"x621",86239,127.5052,37.734,"1",0.0704838709677419,0.0704838709677419,0,0,0,0,0,0,0,0,0,0,1,0,6,22,10,0,0,0
"x622",84263,127.5053,37.7343,"1",0.396,0.396,0,0,0,0,0,0,0,0,0,0,1,0,6,23,10,0,0,0
"x623",84167,127.5084,37.7392,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,29,10,0,0,0
"x624",84170,127.5084,37.7395,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,29,10,0,0,0
"x625",84174,127.5083,37.7394,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,29,10,0,0,0
"x626",84168,127.5084,37.7393,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,29,10,0,0,0
"x627",84231,127.506,37.7366,"1",1.25,1.25,0,0,0,0,0,0,0,0,0,1,1,0,6,26,10,0,0,0
"x628",84232,127.5058,37.7367,"1",1.85,1.85,0,0,0,0,0,0,0,0,0,1,1,0,7,26,10,0,0,0
"x629",84235,127.5061,37.7367,"1",1.25,1.25,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x630",84236,127.5057,37.7367,"1",1.35,1.35,0,0,0,0,0,0,0,0,0,1,1,0,7,26,10,0,0,0
"x631",155797,127.4867,37.8476,"2",10.028237987013,10.028237987013,0,1,0,0,0,0,0,0,0,0,0,0,6,24,7,0,0,0
"x632",155798,127.4867,37.8478,"2",10.028237987013,10.028237987013,0,1,0,0,0,0,0,0,0,0,0,0,6,24,6,0,0,0
"x633",155799,127.4863,37.8484,"4",10.6710879204446,10.6710879204446,0,1,0,0,0,0,0,0,0,0,0,0,6,25,5,0,0,0
"x634",155802,127.4864,37.8477,"1",10.1918695340502,10.1918695340502,0,1,0,0,0,0,0,0,0,0,0,0,6,24,6,0,0,0
"x635",155806,127.4864,37.848,"2",10.0282379901961,10.0282379901961,0,1,0,0,0,0,0,0,0,0,0,0,6,24,6,0,0,0
"x636",155808,127.4866,37.848,"1",9.48791520912548,9.48791520912548,0,1,0,0,0,0,0,0,0,0,0,0,6,24,6,0,0,0
"x637",187285,127.4864,37.8464,"1",8.26535806451613,8.26535806451613,0,1,0,0,0,0,0,0,0,0,0,0,7,22,6,0,0,0
"x638",118807,127.4849,37.8473,"3",8.5,8.5,0,1,0,0,0,0,0,0,0,0,0,0,7,24,5,0,0,0
"x639",179604,127.4811,37.8597,"3",18.1,18.1,0,0,0,0,0,3,0,0,0,0,0,0,3,24,4,0,0,0
"x640",155796,127.4866,37.8475,"1",10.3155632867133,10.3155632867133,0,1,0,0,0,0,0,0,0,0,0,0,6,24,7,0,0,0
"x641",155795,127.4864,37.8475,"2",11.5428214622642,11.5428214622642,0,1,0,0,0,0,0,0,0,0,0,0,6,24,7,0,0,0
"x642",179605,127.4809,37.8596,"3",57.7333333333333,57.7333333333333,0,0,0,0,0,3,0,0,0,0,0,0,3,26,4,0,0,0
"x643",179603,127.4813,37.8594,"3",57.7333321678322,57.7333321678322,0,0,0,0,0,3,0,0,0,0,0,0,4,25,4,0,0,0
"x644",177699,127.4822,37.8588,"3",50.7466302367942,11.2,0,0,0,0,0,3,0,0,0,0,0,0,4,20,5,0,0,0
"x645",177701,127.482,37.8573,"1",52.0666638655462,12.6,0,0,0,0,0,3,0,0,0,0,0,0,5,22,5,0,0,0
"x646",179606,127.482,37.8575,"3",49.6204545454545,49.6204545454545,0,0,0,0,0,3,0,0,0,0,0,0,4,22,5,0,0,0
"x647",177703,127.4818,37.8571,"2",52.0666658711217,12.6,0,0,0,0,0,3,0,0,0,0,0,0,5,22,5,0,0,0
"x648",177704,127.4823,37.858,"2",17.8,12.6,0,0,0,0,0,3,0,0,0,0,0,0,4,22,5,0,0,0
"x649",177705,127.4818,37.8571,"2",49.6333311258278,12.6,0,0,0,0,0,3,0,0,0,0,0,0,5,22,5,0,0,0
"x650",84365,127.5079,37.7378,"1",0.63,0.63,0,1,0,0,0,0,0,0,0,1,1,0,5,27,10,0,0,0
"x651",84366,127.5081,37.7388,"1",0.63,0.63,0,1,0,0,0,0,0,0,0,1,1,0,6,29,10,0,0,0
"x652",84367,127.5078,37.738,"2",0.63,0.63,0,1,0,0,0,0,0,0,0,1,1,0,5,27,10,0,0,0
"x653",84368,127.5078,37.7374,"3",0.63,0.63,0,1,0,0,0,0,0,0,0,1,1,0,6,26,10,0,0,0
"x654",84370,127.5075,37.7371,"2",0.63,0.63,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x655",84371,127.5074,37.7369,"4",0.63,0.63,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x656",84373,127.5077,37.737,"1",0.63,0.63,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x657",182845,127.5076,37.7367,"1",5.1,5.1,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x658",84374,127.5069,37.7367,"2",6.40020151133501,6.40020151133501,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x659",155759,127.4846,37.8483,"3",10.0282378181818,10.0282378181818,0,1,0,0,0,0,0,0,0,0,0,0,7,25,4,0,0,0
"x660",84376,127.5071,37.7368,"1",0.63,0.63,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x661",84377,127.507,37.7366,"1",0.64,0.64,0,0,0,0,0,0,0,0,0,1,1,0,5,26,10,0,0,0
"x662",84275,127.5096,37.7404,"1",0.64,0.64,0,1,0,0,0,0,0,0,0,1,1,0,6,30,11,1,0,0
"x663",84276,127.5097,37.7406,"1",1.1,1.1,0,1,0,0,0,0,0,0,0,1,2,0,6,30,10,1,0,0
"x664",84277,127.5101,37.7421,"1",1.175,1.175,0,1,0,0,0,0,0,0,0,1,2,0,4,28,11,1,0,0
"x665",84278,127.51,37.7419,"1",1.125,1.125,0,1,0,0,0,0,0,0,0,1,2,0,4,29,11,1,0,0
"x666",84256,127.5051,37.7338,"1",0.395769230769231,0.395769230769231,0,0,0,0,0,0,0,0,0,0,1,0,6,21,10,0,0,0
"x667",84187,127.511,37.7426,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,2,0,5,26,10,1,0,0
"x668",84188,127.511,37.7426,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,2,0,5,26,10,1,0,0
"x669",84189,127.5109,37.7427,"1",1.85,1.85,0,1,0,0,0,0,0,0,0,1,2,0,5,26,10,1,0,0
"x670",84259,127.5052,37.7341,"1",0.396013071895425,0.396013071895425,0,0,0,0,0,0,0,0,0,0,1,0,6,22,10,0,0,0
"x671",84260,127.5051,37.7342,"1",0.39625,0.39625,0,0,0,0,0,0,0,0,0,0,1,0,6,22,10,0,0,0
"x672",84261,127.5051,37.7339,"1",0.4,0.4,0,0,0,0,0,0,0,0,0,0,1,0,6,21,10,0,0,0
"x673",84207,127.5056,37.7368,"1",1.85,1.85,0,0,0,0,0,0,0,0,0,1,1,0,6,26,10,0,0,0
"x674",84208,127.5056,37.7367,"1",1.4,1.4,0,0,0,0,0,0,0,0,0,1,1,0,8,26,10,0,0,0
"x675",118777,127.5282,37.874,"2",2.47,2.47,0,0,0,0,0,0,1,0,0,0,0,0,1,13,7,0,0,0
"x676",118778,127.5281,37.874,"2",0.995,0.995,0,0,0,0,0,0,1,0,0,0,0,0,1,13,7,0,0,0
"x677",118779,127.5285,37.8736,"1",1.88,1.88,0,0,0,0,0,0,1,0,0,0,0,0,1,13,7,0,0,0
"x678",118780,127.5286,37.8733,"1",1.88,1.88,0,0,0,0,0,0,1,0,0,0,0,0,1,13,7,0,0,0
"x679",164482,127.5258,37.8733,"4",1.02,1.02,0,0,0,0,0,0,1,0,0,0,0,0,1,14,6,0,0,0
"x680",164485,127.523,37.8702,"3",0.906,0.906,0,0,0,0,0,0,1,0,0,0,0,0,1,13,6,0,0,0
"x681",164486,127.523,37.8689,"3",0.995,0.995,0,0,0,0,0,0,1,0,0,0,0,0,3,13,5,0,0,0
"x682",84238,127.5079,37.7384,"1",1.05,1.05,0,1,0,0,0,0,0,0,0,1,1,0,6,28,10,0,0,0
"x683",84279,127.5101,37.7422,"1",1.125,1.125,0,1,0,0,0,0,0,0,0,1,2,0,4,28,11,1,0,0
"x684",84280,127.51,37.742,"1",3.05,3.05,0,1,0,0,0,0,0,0,0,1,2,0,4,29,11,1,0,0
"x685",84281,127.5101,37.7422,"1",1.12522123893805,1.12522123893805,0,1,0,0,0,0,0,0,0,1,2,0,4,28,11,1,0,0
"x686",84284,127.5098,37.7416,"1",1.1,1.1,0,1,0,0,0,0,0,0,0,1,2,0,6,29,11,1,0,0
"x687",84286,127.5099,37.7417,"1",1.1,1.1,0,1,0,0,0,0,0,0,0,1,2,0,6,29,11,1,0,0
"x688",84288,127.5099,37.7415,"1",1.1,1.1,0,1,0,0,0,0,0,0,0,1,2,0,6,30,11,1,0,0
"x689",84290,127.5097,37.7414,"1",1.1,1.1,0,1,0,0,0,0,0,0,0,1,2,0,6,30,11,1,0,0
"x690",84292,127.5097,37.7411,"1",1.1,1.1,0,1,0,0,0,0,0,0,0,1,2,0,6,30,11,1,0,0
"x691",84293,127.5099,37.7412,"1",1.1,1.1,0,1,0,0,0,0,0,0,0,1,2,0,6,30,11,1,0,0
"x692",84294,127.5097,37.7411,"1",1.1,1.1,0,1,0,0,0,0,0,0,0,1,2,0,6,30,11,1,0,0
"x693",87144,127.5302,37.8656,"3",0.854974358974359,0.854974358974359,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0
"x694",143915,127.536,37.7588,"1",10.4,10.4,0,0,0,0,0,1,0,0,0,0,1,0,0,33,10,1,0,1
"x695",171594,127.5375,37.7603,"1",9.7,9.7,0,0,0,0,0,0,0,0,0,0,1,0,0,32,8,1,0,0
"x696",143920,127.522,37.7446,"1",9.9,9.9,0,1,0,0,0,0,0,0,0,0,1,0,1,17,8,1,0,0
"x697",118782,127.5216,37.7441,"1",0.544,0.544,0,1,0,0,0,0,0,0,0,1,1,0,2,17,8,1,0,0
"x698",84658,127.5079,37.7766,"1",0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"x699",160866,127.4976,37.6772,"1",26.1,26.1,2,9,4,3,2,0,2,0,1,0,29,2,3,1,79,10,3,4
"x700",161235,127.4985,37.6761,"1",26.1,27.1714285714286,2,9,4,3,2,0,2,0,1,0,28,2,4,1,77,9,3,4
"x701",171455,127.4987,37.6759,"1",23.75,23.75,2,7,4,3,2,0,2,0,0,0,28,2,4,1,76,9,3,4
"x702",171454,127.4986,37.676,"3",23.75,23.75,2,9,4,3,2,0,2,0,0,0,28,2,4,1,77,9,3,4
"x703",171453,127.4985,37.6763,"4",23.75,23.75,2,9,4,3,2,0,2,0,1,0,28,2,4,1,77,9,3,4
"x704",160867,127.4978,37.6771,"1",24,24,2,9,4,3,2,0,2,0,1,0,29,2,3,1,79,10,3,4
"x705",160961,127.4981,37.6772,"1",22.4,22.4,2,9,4,3,2,0,2,0,1,0,29,2,3,1,79,10,3,4
"x706",85850,127.4993,37.6752,"1",3.12,3.12,2,6,4,3,3,0,2,0,0,0,24,2,4,2,76,9,3,4
"x707",188583,127.5197,37.7941,"1",0.874990075426757,0.874990075426757,0,0,0,0,0,1,0,0,1,4,1,0,4,13,9,7,0,0
"x708",181230,127.5193,37.7935,"2",0.88,0.88,0,0,0,0,0,0,0,0,1,4,1,0,4,10,9,7,0,0
"x709",181229,127.5194,37.7936,"1",0.732504367485356,0.88002260815949,0,0,0,0,0,0,0,0,1,4,1,0,4,11,9,7,0,0
"x710",181184,127.5195,37.7937,"2",0.0935850959871387,0.879989282224254,0,0,0,0,0,1,0,0,1,4,1,0,4,12,9,7,0,0
"x711",181183,127.5198,37.7941,"2",0.750848311246813,0.879955302338758,0,0,0,0,0,1,0,0,1,4,1,0,4,13,9,7,0,0
"x712",188584,127.5194,37.7939,"1",0.874966906371865,0.874966906371865,0,0,0,0,0,1,0,0,1,4,1,0,4,10,9,7,0,0
"x713",177685,127.5211,37.7877,"2",0.2,0.2,0,0,0,0,0,0,0,0,1,4,1,0,4,9,8,7,0,0
"x714",187103,127.5212,37.7874,"1",2.2,2.2,0,0,0,0,0,0,0,0,1,4,1,0,4,9,8,7,0,0
"x715",177687,127.524,37.785,"3",0.374,0.374,0,0,0,0,0,0,0,0,1,3,1,0,4,11,8,6,0,0
"x716",180517,127.521,37.7876,"1",0.73,0.73,0,0,0,0,0,0,0,0,1,4,1,0,4,9,8,7,0,0
"x717",176074,127.492,37.6812,"1",27.025,35.5516666666667,2,9,4,3,2,0,3,0,2,0,27,2,1,3,80,12,3,4
"x718",168614,127.4918,37.6814,"1",27.05,27.05,2,9,4,3,2,0,3,0,2,0,27,2,1,3,79,12,3,4
"x719",168615,127.4918,37.6814,"1",27.05,27.05,2,9,4,3,2,0,3,0,2,0,27,2,1,3,79,12,3,4
"x720",185944,127.4907,37.682,"1",43.55,43.55,2,9,4,3,2,0,2,0,2,0,27,2,0,3,77,12,3,4
"x721",160997,127.4915,37.6816,"1",27.05,27.05,2,9,4,3,2,0,2,0,2,0,27,2,1,3,78,12,3,4
"x722",160996,127.4911,37.6818,"1",29.25,29.25,2,9,4,3,2,0,2,0,2,0,27,2,0,3,78,12,3,4
"x723",185947,127.4908,37.6819,"1",34.3,34.3636363636364,2,9,4,3,2,0,2,0,2,0,27,2,0,3,77,12,3,4
"x724",168715,127.4895,37.6819,"2",12.75,13.8205882352941,2,9,4,3,2,0,3,0,2,0,27,2,0,5,78,12,3,4
"x725",161212,127.4898,37.6817,"4",17,17.0678496868476,2,9,4,3,2,0,3,0,2,0,28,2,0,5,79,12,3,4
"x726",168752,127.4997,37.6749,"1",226.855462184874,226.855462184874,2,5,4,3,3,0,2,0,0,0,17,2,4,2,69,8,2,4
"x727",168753,127.4998,37.6747,"2",46,48.5290350877193,2,5,4,3,3,0,2,0,0,0,17,2,5,2,66,7,2,4
"x728",85862,127.5001,37.6752,"1",2.5,2.5,2,5,4,3,2,0,2,0,0,0,17,2,5,2,63,7,2,4
"x729",168348,127.4996,37.6751,"1",2.5,2.5,2,5,4,3,3,0,2,0,0,0,17,2,4,2,70,8,2,4
"x730",180322,127.5403,37.8704,"1",3.95961240310078,3.95961240310078,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"x731",180323,127.5401,37.8706,"1",9.76666666666667,9.76666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"x732",183354,127.5396,37.8707,"1",3.25,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"x733",180298,127.5387,37.8707,"3",7.37889492753623,7.37889492753623,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"x734",180295,127.538,37.8704,"1",8.87441860465116,8.87441860465116,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"x735",180315,127.5363,37.8696,"3",8.81162790697674,8.81162790697674,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
"x736",83940,127.5358,37.8692,"3",0.616002606310014,0.616002606310014,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
"x737",92909,127.5356,37.8688,"1",0.616002564102564,0.616002564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
"x738",160960,127.4998,37.6756,"1",24.3,24.36,2,5,4,3,2,0,2,0,0,0,17,2,4,2,69,8,2,4
"x739",121426,127.5266,37.7481,"1",7.23741975308642,9.05223456790123,0,0,0,0,0,1,0,0,0,0,1,0,1,20,8,0,0,0
"x740",84351,127.5103,37.7424,"2",0.675,0.675,0,1,0,0,0,0,0,0,0,1,2,0,4,27,10,1,0,0
"x741",84352,127.5097,37.7413,"2",0.65,0.65,0,1,0,0,0,0,0,0,0,1,2,0,6,30,11,1,0,0
"x742",84353,127.5141,37.7427,"1",0.65,0.65,0,1,0,0,0,0,0,0,0,1,1,0,3,20,7,1,0,0
"x743",85851,127.4995,37.6751,"1",2.5,2.5,2,6,4,3,3,0,2,0,0,0,17,2,4,2,73,8,2,4
"x744",160882,127.499,37.6758,"3",29.7,29.7,2,7,4,3,2,0,2,0,0,0,28,2,4,1,77,9,3,4
"x745",160883,127.4992,37.6754,"1",29.7,29.7,2,6,4,3,3,0,2,0,0,0,25,2,4,2,76,9,3,4
"x746",168751,127.4996,37.675,"1",32.4,32.4,2,5,4,3,3,0,2,0,0,0,17,2,4,2,70,8,2,4
"x747",118781,127.5304,37.7499,"1",6.17,6.17,0,0,0,0,0,1,0,0,0,0,1,0,1,23,10,1,0,0
"x748",163968,127.4912,37.6813,"1",30.9176470588235,30.9176470588235,2,9,4,3,2,0,3,0,2,0,28,2,0,3,82,12,3,4
"x749",162669,127.4909,37.6813,"1",40.65,40.9632075471698,2,9,4,3,2,0,3,0,2,0,28,2,0,3,83,12,3,4
"x750",168757,127.4904,37.6814,"1",17.1,17.1,2,9,4,3,2,0,4,0,2,0,28,2,0,4,81,12,3,4
"x751",168756,127.4905,37.6813,"1",17.1,17.1,2,9,4,3,2,0,4,0,2,0,28,2,0,4,83,12,3,4
"x752",168716,127.4901,37.6815,"2",12.75,12.75,2,9,4,3,2,0,3,0,2,0,28,2,0,5,80,12,3,4
"x753",168717,127.4897,37.6817,"3",12.75,13.1104117647059,2,9,4,3,2,0,3,0,2,0,28,2,0,5,79,12,3,4
"x754",85271,127.4249,37.9697,"1",0.9,0.9,0,0,0,0,0,1,0,0,0,0,0,0,4,17,2,0,0,0
"x755",85272,127.4255,37.9698,"1",0.9,0.9,0,0,0,0,0,1,0,0,0,0,0,0,4,17,2,0,0,0
"x756",85273,127.4279,37.9697,"1",0.39,0.39,0,0,0,0,0,1,0,0,0,0,0,0,4,15,2,0,0,0
"x757",154233,127.4644,37.8156,"4",2.31,2.31,0,0,0,0,0,0,0,0,0,0,0,0,2,45,2,0,0,0
"x758",150120,127.4603,37.8157,"1",1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,3,44,1,0,0,0
"x759",83298,127.4587,37.8161,"4",0.12,0.115,0,0,0,0,0,0,0,0,0,0,0,0,2,42,1,0,0,0
"x760",144995,127.4595,37.816,"1",13.4,13.4,0,0,0,0,0,0,0,0,0,0,0,0,2,44,1,0,0,0
"x761",144155,127.4589,37.816,"1",14.1,14.1,0,0,0,0,0,0,0,0,0,0,0,0,2,43,1,0,0,0
"x762",144154,127.4585,37.8162,"1",9.45,9.45,0,0,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
"x763",160840,127.4978,37.6776,"1",22.4,22.4,2,9,4,3,2,0,2,0,1,0,29,2,3,1,77,10,3,4
"x764",160841,127.4978,37.6776,"1",22.4,22.4,2,9,4,3,2,0,2,0,1,0,29,2,3,1,77,10,3,4
"x765",160869,127.4973,37.6774,"3",24,24,2,9,4,3,2,0,2,0,1,0,30,2,3,1,80,10,3,4
"x766",160946,127.497,37.6778,"4",24,24,2,9,4,3,2,0,2,0,1,0,30,2,3,1,81,11,3,4
"x767",160924,127.4966,37.6779,"1",24,24,2,10,4,3,2,0,2,0,1,0,30,2,3,2,83,11,3,4
"x768",161958,127.5096,37.8533,"4",0.490606817362649,1.27499752844859,0,0,1,1,0,1,1,0,0,1,0,0,5,15,9,1,0,0
"x769",84210,127.5054,37.7367,"1",3.3,3.3,0,0,0,0,0,0,0,0,0,1,1,0,8,26,10,0,0,0
"x770",84211,127.5054,37.7367,"1",3.3,3.3,0,0,0,0,0,0,0,0,0,1,1,0,8,26,10,0,0,0
"x771",172094,127.5348,37.7528,"4",6.2,6.32339567747298,0,0,0,0,0,1,0,0,0,0,1,0,0,38,11,1,0,0
"x772",160926,127.4958,37.6786,"4",30,30.3166137566138,2,10,4,3,2,0,3,0,2,0,30,2,2,2,85,12,3,4
"x773",160927,127.4958,37.6785,"1",27.75,27.75,2,10,4,3,2,0,3,0,2,0,30,2,2,2,85,11,3,4
"x774",84362,127.5082,37.7393,"1",0.64,0.64,0,1,0,0,0,0,0,0,0,1,1,0,6,29,10,0,0,0
"x775",84361,127.5088,37.7399,"1",0.640002971989004,0.640002971989004,0,1,0,0,0,0,0,0,0,1,1,0,6,29,11,0,0,0
"x776",161004,127.4964,37.6781,"3",24,24.2177267987487,2,10,4,3,2,0,2,0,2,0,30,2,2,2,83,11,3,4
"x777",161237,127.4966,37.6781,"2",22.65,22.65,2,9,4,3,2,0,2,0,1,0,30,2,2,2,80,11,3,4
"x778",161234,127.4958,37.6785,"1",26.4,26.6013422818792,2,10,4,3,2,0,3,0,2,0,30,2,2,2,85,11,3,4
"x779",168755,127.4951,37.6788,"1",30,30,2,10,4,3,2,0,3,0,2,0,31,2,2,2,87,12,3,4
"x780",168754,127.4951,37.6787,"1",28.5,42.9807142857143,2,10,4,3,2,0,3,0,2,0,31,2,2,2,87,12,3,4
"x781",160998,127.4934,37.6802,"1",25.7,25.7,2,9,4,3,2,0,3,0,2,0,29,2,1,3,84,12,3,4
"x782",160999,127.4947,37.6795,"2",25.7,25.7,2,9,4,3,2,0,3,0,2,0,30,2,2,2,85,13,3,4
"x783",160965,127.4973,37.678,"1",22.4,22.4,2,9,4,3,2,0,2,0,1,0,30,2,3,1,79,11,3,4
"x784",160966,127.4974,37.678,"1",22.4,22.4,2,9,4,3,2,0,2,0,1,0,29,2,3,1,79,11,3,4
"x785",84356,127.5093,37.74,"1",0.64,0.64,0,1,0,0,0,0,0,0,0,1,1,0,6,30,10,1,0,0
"x786",84357,127.5086,37.7398,"1",0.64,0.64,0,1,0,0,0,0,0,0,0,1,1,0,6,29,11,0,0,0
"x787",84359,127.5093,37.7401,"1",0.64,0.64,0,1,0,0,0,0,0,0,0,1,1,0,6,30,10,1,0,0
"x788",84360,127.5092,37.7403,"2",0.640005469538876,0.640005469538876,0,1,0,0,0,0,0,0,0,1,1,0,6,30,12,1,0,0
"x789",118776,127.5287,37.8734,"1",2.82030003191829,2.82030003191829,0,0,0,0,0,0,1,0,0,0,0,0,1,13,7,0,0,0
"x790",85775,127.5239,37.6101,"1",0.825,0.825,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
"x791",85782,127.5236,37.61,"4",2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
"x792",85776,127.5238,37.6101,"2",2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
"x793",85783,127.5238,37.6103,"1",0.825,0.825,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
"x794",85777,127.5234,37.6102,"1",2.4,2.4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0
"x795",119079,127.5236,37.6103,"1",2.32,2.32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
"x796",85779,127.5237,37.6105,"1",0.825,0.825,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
"x797",85780,127.5237,37.6104,"1",0.825,0.825,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
"x798",85781,127.5231,37.6104,"3",2.4,2.4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0
"x799",85784,127.5215,37.6128,"1",1.65,1.65,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0
"x800",85785,127.5215,37.6125,"1",1.65,1.65,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0
"x801",85786,127.5214,37.6124,"1",1.65044606650446,1.65044606650446,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0
"x802",119080,127.5214,37.6126,"1",1.2,1.2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0
"x803",85788,127.522,37.6112,"1",1.5,1.5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0
"x804",119081,127.5216,37.6122,"3",1.39,1.39,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0
"x805",119163,127.4819,37.6318,"1",1.81,1.81,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0
"x806",118775,127.5286,37.8735,"1",6.9,6.9,0,0,0,0,0,0,1,0,0,0,0,0,1,13,7,0,0,0
