"","asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"x47",164507,127.5579,37.8974,"4",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x48",164509,127.5582,37.8977,"2",2.25,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x49",118896,127.5596,37.9014,"4",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x50",85487,127.5262,37.9654,"1",0.0693877551020408,0.0693877551020408,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
"x51",83576,127.5799,37.9545,"4",0.1,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"x52",85486,127.5264,37.966,"1",0.0693846153846154,0.0693846153846154,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
"x53",83575,127.5261,37.9656,"1",0.111,0.421,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
"x54",118907,127.5582,37.9045,"1",0.363,0.363,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x55",118908,127.5592,37.9047,"1",0.594,0.594,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x56",118910,127.5634,37.9125,"4",0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,0,0,0
"x57",118911,127.5577,37.9044,"1",0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x58",118912,127.5577,37.9043,"2",0.429,0.429,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x59",118918,127.557,37.904,"3",0.264,0.264,0,0,0,0,0,0,0,0,0,0,0,0,1,17,4,0,0,0
"x60",118919,127.5574,37.9035,"4",0.416223997280761,0.416223997280761,0,0,0,0,0,0,0,0,0,0,0,0,1,17,4,0,0,0
"x61",164512,127.5575,37.8974,"1",0.33,0.33,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x62",164513,127.5574,37.8973,"2",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x63",83577,127.5781,37.9581,"4",0.23,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x64",83578,127.5783,37.9587,"4",0.073,0.0655694169061781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x65",118906,127.5587,37.9046,"1",0.363,0.363,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x66",86909,127.56,37.9018,"1",3.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0
"x67",118897,127.5594,37.9014,"4",0.363,0.363,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x68",118898,127.5596,37.9011,"1",0.363,0.363,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x69",118899,127.5603,37.9002,"1",2.22,2.22,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x70",118900,127.56,37.9007,"3",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x71",85482,127.5261,37.9649,"1",0.0715625,0.0715625,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
"x72",85483,127.5265,37.9643,"1",0.0716346153846154,0.0716346153846154,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
"x73",85484,127.5268,37.9639,"1",0.0717073170731707,0.0717073170731707,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
"x74",83574,127.5275,37.9665,"4",0.0841,0.0712,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0
"x75",85488,127.524,37.9918,"4",0.0666874463826137,0.0666874463826137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"x76",85489,127.5265,37.9882,"4",0.0680995038588754,0.0680995038588754,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x77",85490,127.5263,37.9878,"4",0.069401366010446,0.069401366010446,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x78",158311,127.5388,38.0003,"4",0.0745,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x79",83579,127.5275,37.9791,"4",0.0785,0.105,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
"x80",83580,127.527,37.986,"4",0.0816,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x81",83581,127.527,37.9799,"1",0.0816,0.0733,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
"x82",85491,127.5271,37.9794,"4",0.0501992820893675,0.0501992820893675,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
"x83",85492,127.527,37.9791,"1",0.0511971830985916,0.0511971830985916,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
"x84",85493,127.527,37.9845,"3",0.0512,0.0512,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"x85",85494,127.5272,37.984,"4",0.0512021439509954,0.0512021439509954,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
"x86",83582,127.5226,37.9822,"4",0.0777,0.0698,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
"x87",83583,127.5267,37.9871,"1",0.115,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x88",83584,127.5265,37.9863,"3",0.11,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x89",83585,127.5268,37.9869,"1",0.115,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x90",83586,127.5263,37.978,"3",0.115,0.0733,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0
"x91",83587,127.5264,37.9779,"1",0.0816,0.0733,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0
"x92",83588,127.5249,37.9872,"4",0.11,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x93",83626,127.5815,37.956,"4",0.0518,0.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x94",83627,127.5821,37.9571,"4",0.0518,0.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x95",85495,127.5249,37.9867,"4",0.0680993150684931,0.0680993150684931,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x96",85496,127.5248,37.9864,"4",0.05019955654102,0.05019955654102,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x97",85497,127.5266,37.9873,"1",0.0694117647058824,0.0694117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x98",85498,127.5266,37.9868,"1",0.0694318181818182,0.0694318181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x99",85499,127.5264,37.9852,"4",0.0694026377036462,0.0694026377036462,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x100",85500,127.5265,37.9852,"1",0.0693636363636364,0.0693636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x101",85501,127.5261,37.9788,"4",0.0681002506265664,0.0681002506265664,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0
"x102",85502,127.5263,37.9784,"4",0.0693981225842076,0.0693981225842076,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0
"x103",85503,127.5256,37.9777,"1",0.0694,0.0694,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
"x104",85504,127.5267,37.9869,"2",0.0511988304093567,0.0511988304093567,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x105",85505,127.5265,37.9862,"1",0.05125,0.05125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x106",85507,127.5243,37.9866,"4",0.0511998685075608,0.0511998685075608,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x107",85508,127.524,37.9864,"1",0.0511814345991561,0.0511814345991561,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x108",83589,127.5236,37.9779,"4",0.0785,0.0705,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0
"x109",83590,127.5262,37.977,"3",0.228,0.219,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
"x110",83424,127.5368,37.8804,"4",0.112,0.106,0,1,1,1,0,0,0,0,1,0,0,0,5,17,6,0,0,0
"x111",83592,127.5258,37.9771,"4",0.21,0.202,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
"x112",83593,127.525,37.9719,"4",0.228,0.219,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
"x113",183349,127.5575,37.8975,"1",2.49,2.49,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x114",164515,127.557,37.8974,"2",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x115",164516,127.5567,37.8973,"1",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x116",164518,127.5572,37.8973,"1",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x117",164519,127.557,37.8974,"3",1.66,1.66,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
