"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,189597,"토지","행정재산","공공용재산","일반","답","답",1,14,2184000,2184000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-25","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 121",126.805,37.4246,"1",15.6,15.6,10,114,219,43,328,63,59,1,39,14,451,17,59,30,2477,154,146,63
2015,189595,"토지","행정재산","공공용재산","일반","답","답",1,1503,234468000,234468000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-25","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 202",126.8052,37.4239,"4",15.6,15.6,10,113,217,41,325,63,59,1,38,14,445,17,60,30,2450,154,144,62
2015,189567,"토지","행정재산","공공용재산","일반","답","답",1,155,24180000,24180000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-20","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 203",126.805,37.4241,"1",15.6,15.6,10,113,220,41,327,63,59,1,38,14,448,17,59,30,2458,154,145,63
2015,187565,"토지","행정재산","공공용재산","일반","답","답",1,1824,158870400,158870400,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-06-03","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  281 - 53",126.8055,37.4251,"4",8.71,8.71,10,113,216,43,325,60,59,1,38,14,452,17,59,30,2482,157,148,64
2015,187566,"토지","행정재산","공공용재산","일반","답","답",1,67,5835700,5835700,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-07","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  281 - 54",126.8057,37.4251,"1",8.71,8.71,10,113,215,43,325,60,59,1,38,14,452,17,60,30,2477,156,148,64
2015,187569,"토지","행정재산","공공용재산","일반","답","답",1,20,1760000,1760000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-24","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  549 - 5",126.8049,37.4224,"1",8.8,8.8,10,109,212,42,317,61,58,1,37,14,441,18,59,30,2437,151,143,62
2015,179469,"토지","행정재산","공공용재산","일반","답","답",1,99,8504100,8504100,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 안현동  549 - 10",126.8054,37.4233,"1",8.59,8.59,10,112,214,42,322,62,59,1,38,14,441,17,59,30,2439,152,143,62
2015,179468,"토지","행정재산","공공용재산","일반","답","답",1,917,78770300,78770300,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 안현동  549 - 11",126.8052,37.4232,"3",8.59,8.59,10,111,215,42,321,62,59,1,37,14,442,17,59,30,2439,152,142,62
2015,183966,"토지","행정재산","공공용재산","일반","답","답",1,1389,215295000,215295000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-10-24","매입","하천","2013-12-11","","경기도 시흥시 안현동  549 - 12",126.805,37.4229,"4",15.5,15.5,10,110,213,42,320,62,59,1,37,14,443,18,58,30,2437,152,143,62
2015,187568,"토지","행정재산","공공용재산","일반","답","답",1,1705,150128000,150128000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-24","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  549 - 13",126.8047,37.4226,"4",8.80516129032258,8.80516129032258,10,109,213,43,317,61,59,1,37,14,444,18,59,30,2436,152,144,62
2015,187571,"토지","행정재산","공공용재산","일반","답","답",1,19,1672000,1672000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-07","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  550 - 3",126.8044,37.4215,"1",8.8,8.8,10,110,215,42,330,60,58,1,38,14,441,19,59,30,2459,150,145,61
