"asset_ID","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,32112,"토지","행정재산","공공용재산","일반","하천","하천",1,107,30281000,30281000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2003-03-10","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629521]","경기도 광주시 오포읍 문형리 386 - 7",127.2172,37.3443,"1",28.3,28.3,4,83,108,13,69,41,28,0,17,4,220,8,57,10,747,61,26,23
2015,96389,"토지","행정재산","공공용재산","일반","공장용지","공장용지",1,314,84780000,84780000,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2003-10-07","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1629520]","경기도 광주시 오포읍 문형리 386 - 8",127.2174,37.3445,"2",27,27,4,82,109,13,70,41,29,0,16,4,221,8,57,10,752,60,26,24
2015,146142,"토지","행정재산","공공용재산","일반","답","답",1,7,2026500,2026500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-06-27","매입","오포~포곡(2)","2010-01-22","","경기도 광주시 오포읍 문형리 611 - 8",127.2028,37.3361,"1",28.95,28.95,5,81,72,7,59,41,31,0,18,8,199,9,50,10,796,76,27,22
2015,151763,"토지","행정재산","공공용재산","일반","전","전",1,409,11579930,11579930,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2006-12-12","매입","오포~포곡(2)간 도로","2010-03-09","총97,751,000원중 86,171,070원 기지급","경기도 광주시 오포읍 문형리 612 - 5",127.2025,37.3367,"2",2.83127872860636,2.83127872860636,5,82,75,7,60,41,32,0,17,8,205,9,45,10,797,79,30,23
2015,35130,"토지","행정재산","공공용재산","일반","창고용지","창고용지",1,297,85833000,85833000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-01-15","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632539]","경기도 광주시 오포읍 문형리 612 - 6",127.2023,37.3365,"1",28.9,28.9,5,82,72,7,60,41,32,0,17,8,204,9,46,10,802,78,30,23
2015,35131,"토지","행정재산","공공용재산","일반","답","답",1,852,178494000,178494000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-01-15","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632540]","경기도 광주시 오포읍 문형리 612 - 7",127.2026,37.3365,"3",20.95,20.95,5,82,72,7,60,41,32,0,18,8,203,9,48,10,802,78,29,23
2015,143742,"토지","행정재산","공공용재산","일반","답","답",1,463,131723500,131723500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-05-19","매입","경기도 광주시 오포읍 문형리 일반번지 613-11번지","2010-01-22","","경기도 광주시 오포읍 문형리 613 - 11",127.2025,37.337,"2",28.45,28.45,5,82,75,7,61,40,32,0,17,8,206,9,45,10,799,78,30,23
2015,35105,"토지","행정재산","공공용재산","일반","답","답",1,375,71812500,71812500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-04-13","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632514]","경기도 광주시 오포읍 문형리 613 - 14",127.2024,37.3368,"2",19.15,19.15,5,82,75,7,61,41,32,0,17,8,206,9,45,10,797,79,30,23
2015,143743,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,185,76867500,76867500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-05-19","매입","경기도 광주시 오포읍 문형리 일반번지 613-15번지","2010-01-22","","경기도 광주시 오포읍 문형리 613 - 15",127.2023,37.3371,"1",41.55,41.55,5,83,77,7,61,40,32,0,17,8,208,9,45,10,800,78,30,23
2015,143752,"토지","행정재산","공공용재산","일반","답","답",1,739,261975500,261975500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-06-16","매입","경기도 광주시 오포읍 문형리 일반번지 615-14번지","2010-01-22","","경기도 광주시 오포읍 문형리 615 - 14",127.2023,37.3375,"3",35.45,35.45,5,83,79,7,61,40,32,0,17,8,212,9,43,10,786,75,30,23
2015,143750,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,1,440500,440500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-06-16","매입","경기도 광주시 오포읍 문형리 일반번지 615-16번지","2010-01-22","","경기도 광주시 오포읍 문형리 615 - 16",127.2025,37.3372,"1",44.05,44.05,5,83,77,7,61,40,32,0,17,8,208,9,45,10,799,78,30,23
2015,143753,"토지","행정재산","공공용재산","일반","전","전",1,85,30132500,30132500,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-06-16","매입","경기도 광주시 오포읍 문형리 일반번지 616-1번지","2010-01-22","","경기도 광주시 오포읍 문형리 616 - 1",127.2023,37.3376,"1",35.45,35.45,5,83,79,7,61,41,32,0,17,8,212,9,43,10,784,75,30,23
2015,143751,"토지","행정재산","공공용재산","일반","답","답",1,724,253400000,254084200,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-06-16","매입","경기도 광주시 오포읍 문형리 일반번지 617-2번지","2010-01-22","","경기도 광주시 오포읍 문형리 617 - 2",127.2023,37.3372,"3",35,35.0945027624309,5,83,77,7,61,40,32,0,17,8,211,9,45,10,802,78,30,23
2015,35106,"토지","행정재산","공공용재산","일반","답","답",1,98,18767000,18767000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2005-04-13","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1632515]","경기도 광주시 오포읍 문형리 618 - 10",127.2023,37.3368,"1",19.15,19.15,5,82,74,7,61,41,32,0,17,8,206,9,45,10,799,79,30,23
2015,143763,"토지","행정재산","공공용재산","일반","공장용지","공장용지",1,168,78288000,78288000,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2008-05-27","매입","경기도 광주시 오포읍 문형리 일반번지 620-4번지","2010-01-22","","경기도 광주시 오포읍 문형리 620 - 4",127.2029,37.3364,"1",46.6,46.6,5,81,73,7,59,41,31,0,18,8,202,9,50,10,795,76,28,22
