"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,147694,"토지","행정재산","공공용재산","일반","답","답",1,500,3.1e+07,3.1e+07,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2009-04-09","매입","도로(토지)","2009-12-09","","경기도 안성시 보개면 남풍리 897 - 3",127.3082,37.078,"3",6.2,6.2,1,2,5,4,3,17,2,0,0,1,7,2,28,26,68,5,0,1
2015,41986,"토지","행정재산","공공용재산","일반","답","답",1,905,28051000,28051000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2004-07-21","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1639370]","경기도 안성시 일죽면 방초리 130 - 4",127.4335,37.1338,"3",3.09955801104972,3.09955801104972,1,3,3,4,4,12,7,0,3,0,7,0,55,15,80,2,0,0
2015,36146,"토지","행정재산","공공용재산","일반","답","답",1,166,1506000,1506000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2001-05-29","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1633530]","경기도 안성시 보개면 동평리 106 - 1",127.3247,37.0895,"1",0.907228915662651,0.907228915662651,0,6,4,3,2,18,3,0,0,2,8,1,25,24,63,6,1,1
2015,107834,"토지","행정재산","공공용재산","일반","답","답",1,122,2635200,2635200,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2000-05-10","매입","","2008-01-17","","경기도 안성시 대덕면 대농리 324 - 1",127.2606,37.0656,"1",2.16,2.16,1,7,13,6,1,6,24,0,5,0,10,2,38,18,128,5,0,1
2015,42299,"토지","행정재산","공공용재산","일반","전","전",1,1540,117810000,117810000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2005-08-25","매입","도로","2009-08-24","[토지분류코드:][관리대장코드:1639683]","경기도 안성시 도기동  417 - 2",127.2592,36.9946,"4",7.65,7.65,9,104,97,24,111,95,52,0,40,5,129,29,24,36,1396,112,89,40
2015,42120,"토지","행정재산","공공용재산","일반","공장용지","공장용지",1,47,6721000,6721000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2004-06-08","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1639504]","경기도 안성시 대덕면 소내리 132 - 21",127.2319,37.0322,"1",14.3,14.3,10,108,75,23,108,87,41,0,39,5,108,19,26,47,1341,120,91,39
2015,39739,"토지","행정재산","공공용재산","일반","전","전",1,160,11840000,11840000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2002-10-25","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1637123]","경기도 안성시 서운면 신능리 13 - 50",127.2673,36.9774,"1",7.4,7.4,10,98,85,23,110,92,34,0,35,5,124,31,27,32,1355,111,88,39
2015,36108,"토지","행정재산","공공용재산","일반","전","전",1,2916,26535600,26535600,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1999-12-06","매입","하천","2007-07-18","[토지분류코드:GA201][관리대장코드:1633492]","경기도 안성시 보개면 동신리 49",127.3103,37.0001,"4",0.91,0.91,7,65,80,18,106,90,31,0,25,9,103,24,40,39,1125,92,90,36
2015,108318,"토지","행정재산","공공용재산","일반","답","답",1,441,7232400,7232400,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2001-04-06","매입","","2008-01-17","","경기도 안성시 보개면 복평리 219 - 1",127.3062,37.0362,"2",1.64,1.64,5,57,63,19,100,85,25,0,25,8,86,21,35,43,1003,83,85,33
2015,94908,"토지","행정재산","공공용재산","일반","하천","하천",1,2007,22935840,22935840,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2001-06-26","매입","하천","2007-10-08","","경기도 안성시 양성면 방축리 80 - 11",127.2357,37.0608,"4",1.14279222720478,1.14279222720478,2,12,13,5,1,7,30,0,8,0,20,5,34,20,185,14,2,3
2015,164184,"토지","행정재산","공공용재산","일반","전","전",1,456,58824000,58824000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2005-03-11","누락재산등록","도로","2011-07-14","","경기도 안성시 대덕면 건지리 448 - 2",127.2399,37.0086,"2",12.9,12.9,11,110,98,23,118,101,54,0,41,5,136,29,23,47,1453,119,91,40
2015,40839,"토지","행정재산","공공용재산","일반","하천","하천",1,34,12580000,12580000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1999-09-04","매입","도로","2007-07-18","[토지분류코드:GA213][관리대장코드:1638223]","경기도 안성시 인지동  461 - 114",127.2657,37.0049,"1",37,37,8,101,94,23,109,96,52,0,37,6,124,30,24,42,1384,109,88,38
2015,36382,"토지","행정재산","공공용재산","일반","하천","하천",1,1352,13520000,13520000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2003-05-09","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1633766]","경기도 안성시 양성면 난실리 295 - 1",127.2207,37.1097,"4",1,1,1,11,12,5,6,14,13,0,5,4,25,5,60,16,198,12,6,4
2015,38254,"토지","행정재산","공공용재산","일반","묘지","묘지",1,80,2224000,2224000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1999-12-07","매입","도로","2007-07-18","[토지분류코드:GA223][관리대장코드:1635638]","경기도 안성시 대덕면 진현리 130 - 1",127.259,37.0602,"1",2.78,2.78,1,11,22,8,13,10,28,0,6,0,22,3,36,18,182,6,3,3
2015,164149,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,20,2520000,2520000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2009-01-08","누락재산등록","도로","2011-07-14","","경기도 안성시 공도읍 만정리 377 - 18",127.1716,37.0109,"1",12.6,12.6,9,95,173,17,106,34,32,0,26,3,173,7,24,29,1065,104,45,22
2015,36696,"토지","행정재산","공공용재산","일반","전","전",1,1563,23601000,23601000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2005-07-06","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1634080]","경기도 안성시 고삼면 대갈리 101 - 2",127.2579,37.0657,"4",1.50998080614203,1.50998080614203,1,7,11,4,1,6,25,0,5,0,9,2,38,19,133,5,0,1
