"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,162798,"토지","행정재산","공공용재산","일반","전","전",1,222,29082000,29082000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2003-07-29","누락재산등록","하천","2011-06-23","","경기도 의정부시 호원동  300 - 30",127.0391,37.7232,"1",13.1,13.1,17,321,606,72,694,198,53,25,160,19,730,59,50,189,5868,464,442,169
2015,59171,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,147,88220500,88220500,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2004-10-12","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500047]","경기도 의정부시 호원동  98 - 1",127.0496,37.71,"1",60.0139455782313,60.0139455782313,17,351,647,74,797,207,51,24,169,24,841,63,67,197,6505,538,524,189
2015,124360,"토지","행정재산","공공용재산","일반","하천","하천",1,1039,329363000,329363000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2006-01-27","매입","하천","2008-02-01","","경기도 의정부시 호원동  98 - 8",127.0498,37.7097,"4",31.7,31.7,17,351,651,75,798,205,51,25,169,24,846,63,67,196,6501,537,524,194
2015,59131,"토지","일반재산","미등록","일반","대","대",1,4098,2925972000,1946550000,"경기도 경제실 기업지원과","","","1969-12-16","매입","청사부지","2007-12-14","[토지분류코드:GC008][관리대장코드:2500007]","경기도 의정부시 호원동  119 - 151",127.0447,37.7088,"4",71.4,47.5,16,332,626,73,703,200,46,23,160,21,814,61,66,195,6234,494,526,196
2015,59163,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,8106,631092162,631092162,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2004-01-14","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500039]","경기도 의정부시 호원동  125",127.0514,37.7059,"4",7.78549422649889,7.78549422649889,18,349,694,77,812,207,51,24,164,19,903,66,67,200,6639,537,564,217
2015,59164,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,1862,158270000,158270000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2004-01-14","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500040]","경기도 의정부시 호원동  126 - 3",127.0511,37.7049,"4",8.5,8.5,18,349,689,73,832,206,53,23,161,19,903,57,68,205,6650,542,576,223
2015,113912,"토지","행정재산","공공용재산","일반","하천","하천",1,119,10602900,10602900,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2005-02-22","매입","","2008-01-17","","경기도 의정부시 호원동  226 - 13",127.045,37.7062,"1",8.91,8.91,18,340,647,76,740,201,49,22,162,21,841,56,71,199,6339,515,543,199
2015,113914,"토지","행정재산","공공용재산","일반","하천","하천",1,72,18504000,18504000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2005-02-22","매입","","2008-01-17","","경기도 의정부시 호원동  226 - 195",127.0454,37.7061,"1",25.7,25.7,18,341,651,77,749,203,50,22,163,21,848,58,69,197,6375,519,548,201
2015,113915,"토지","행정재산","공공용재산","일반","하천","하천",1,2,640000,640000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2005-02-22","매입","","2008-01-17","","경기도 의정부시 호원동  226 - 230",127.0454,37.7061,"1",32,32,18,341,651,77,749,203,50,22,163,21,848,58,69,197,6375,519,548,201
2015,59169,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,72,48938000,48938000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2004-05-07","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500045]","경기도 의정부시 호원동  97 - 1",127.0496,37.7103,"1",67.9694444444444,67.9694444444444,17,351,641,72,792,206,51,24,168,24,838,63,67,197,6521,538,523,189
2015,59167,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,1316,334363000,334363000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2004-05-06","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500043]","경기도 의정부시 호원동  97 - 2",127.0498,37.7102,"4",25.4075227963526,25.4075227963526,17,352,643,73,793,207,51,24,167,24,838,63,67,197,6525,538,525,189
