"asset_ID","Land_size","Land_value","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
783,251,2961800,1.18,0,2,5,1,3,0,1,0,1,0,7,1,0,0,9,2,0,0
784,115,1932000,1.68,0,2,6,1,5,0,1,0,1,0,7,1,0,0,9,2,0,0
785,124,2083200,1.68,0,2,6,1,5,0,1,0,1,0,7,1,0,0,9,2,0,0
786,170,2006000,1.18,0,2,4,1,3,0,2,0,1,0,7,1,0,0,9,2,0,0
787,1094,18379200,1.68,0,2,4,1,3,0,1,0,1,0,7,1,0,0,9,2,0,0
788,26,436800,1.68,0,2,4,1,3,0,2,0,1,0,7,1,0,0,9,2,0,0
789,294,4939200,1.68,0,2,4,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
790,1821,21487800,1.18,0,2,4,1,3,0,1,0,1,0,7,1,0,0,9,2,0,0
791,265,3127000,1.18,0,2,4,1,3,0,1,0,1,0,7,1,0,0,9,2,0,0
792,269,3174200,1.18,0,2,5,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
795,705,82659000,11.7246808510638,0,2,4,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
793,542,6395600,1.18,0,2,3,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
794,376,4436800,1.18,0,2,4,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
796,536,9004800,1.68,0,2,2,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
798,21,352800,1.68,0,2,4,1,3,0,1,0,1,0,5,1,0,0,8,2,0,0
799,1295,21759000,1.68023166023166,0,2,1,0,3,0,1,0,1,0,4,1,0,0,8,2,0,0
800,357,5997600,1.68,0,2,1,0,3,0,1,0,1,0,4,1,0,0,8,2,0,0
97865,564.4,251158000,44.5,1,5,24,2,24,2,1,0,1,0,29,0,0,0,101,7,10,3
97866,1749.3,778438500,44.5,1,5,24,1,24,2,1,0,1,0,29,0,0,0,101,7,10,3
183833,44123.4,44123400,0.1,1,3,8,1,5,1,2,0,1,0,13,1,1,0,46,5,2,1
81,951,662847000,69.7,2,7,1,1,20,14,4,0,9,1,18,2,2,1,163,64,23,4
83,385,276391500,71.79,2,6,1,1,12,13,4,0,8,1,15,2,2,1,166,62,18,4
115,781,377483330,48.3333329065301,1,7,2,0,1,12,4,0,5,0,10,0,1,0,100,35,5,0
116,1123,549823800,48.960267141585,1,6,2,0,1,12,3,0,5,0,9,0,2,0,88,32,5,0
117,1662,816319000,49.1166666666667,1,8,2,0,1,11,4,0,7,0,15,0,1,0,108,35,6,1
118,262,135192000,51.6,1,8,2,0,1,11,4,0,7,0,15,0,1,0,106,35,6,1
802,294,4939200,1.68,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
803,188,3158400,1.68,0,2,4,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
805,488,8198400,1.68,0,2,4,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
806,13,218400,1.68,0,1,0,0,1,0,1,0,0,0,2,1,0,0,3,1,0,0
807,126,2116800,1.68,0,1,0,0,1,0,1,0,0,0,2,1,0,0,3,1,0,0
808,71,1192800,1.68,0,2,4,1,3,0,1,0,1,0,5,1,0,0,8,2,0,0
804,260,4368000,1.68,0,2,4,1,3,0,1,0,1,0,7,1,0,0,8,2,0,0
809,79,5712000,7.23037974683544,0,2,3,1,3,0,1,0,1,0,4,1,0,0,8,1,0,0
810,112,51969000,46.4008928571429,0,2,3,1,3,0,1,0,1,0,4,1,0,0,8,1,0,0
811,1019,76245000,7.48233562315996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,1495,64464000,4.31197324414716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,1264,14994000,1.18623417721519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,294,41310000,14.0510204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,230,13515000,5.87608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149170,2019,4848079880,240.12282714215,0,8,18,6,23,10,2,0,1,2,45,17,1,1,136,21,7,6
93358,13682.1,1128773250,8.25,0,5,21,4,34,2,1,0,4,0,24,1,0,0,63,9,16,6
97836,535.6,44187000,8.25,0,4,25,5,28,2,1,0,4,0,20,1,1,0,71,6,14,5
97871,33519.2,6737359200,20.1,2,4,16,4,42,5,0,0,3,0,21,1,1,0,110,19,15,5
47,2050.4,1156425600,56.4,0,8,21,1,25,7,3,0,3,0,26,4,0,0,181,9,7,4
90809,1045.5,2900217000,277.4,0,32,7,0,16,26,2,0,16,3,43,0,1,52,699,71,31,12
329,3920.1,9251436000,236,0,21,9,3,35,15,0,1,16,10,47,0,1,38,335,47,47,7
160934,155,20305000,13.1,0,13,13,3,24,0,1,0,5,0,35,0,0,1,200,17,9,5
160933,34,4454000,13.1,0,13,12,2,32,0,1,0,5,0,36,0,0,1,199,18,12,7
160932,78,10218000,13.1,0,13,12,2,32,0,1,0,5,0,36,0,0,1,198,18,12,7
160931,93,12183000,13.1,0,14,12,2,31,0,1,0,5,0,36,0,0,1,199,18,12,7
160930,23,3013000,13.1,0,12,15,4,26,0,1,0,5,0,25,1,0,1,160,14,14,7
3,629,99382000,15.8,1,12,15,3,17,16,1,0,5,2,40,26,0,20,148,20,10,6
1,309,297876000,96.4,1,8,10,3,8,11,0,0,4,2,16,24,1,2,70,6,18,6
2,28577,39150490000,137,0,5,14,4,5,11,0,0,2,2,12,24,1,0,52,5,3,1
1157,13.5,2.7e+07,200,2,13,30,1,47,10,0,1,8,1,27,0,2,0,159,23,27,9
155226,25.5,5.1e+07,200,2,13,29,1,47,10,0,1,9,1,29,0,2,0,158,24,28,9
185336,45,39650810,88.1129111111111,0,2,9,1,15,1,0,0,0,0,12,1,0,0,52,1,4,2
172864,4,932000,23.3,0,2,14,2,17,1,0,0,0,0,15,1,0,0,56,2,4,2
166390,92,20516000,22.3,0,2,15,2,17,1,0,0,0,0,15,1,0,0,56,2,4,2
184050,208,208000,0.1,0,2,12,2,15,1,0,0,0,0,10,1,0,0,50,2,4,2
531,438,21199200,4.84,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
818,265,41310000,15.588679245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,1605.9,1911021000,119,2,6,27,4,69,7,0,1,10,1,19,2,0,2,137,28,49,7
52,3473,5278960000,152,1,6,4,1,12,10,1,0,3,0,29,3,0,0,42,15,7,1
53,980,1489600000,152,1,6,3,0,12,10,1,0,3,0,28,2,0,0,40,15,7,1
182579,10105.7,10100,9.99435961882898e-05,1,9,2,1,12,4,4,0,6,1,18,0,2,1,139,52,18,3
194,1502,590810000,39.3348868175766,1,6,1,0,2,10,2,0,4,0,23,0,0,0,65,24,5,0
195,3670,1058382000,28.8387465940054,1,6,1,0,2,10,2,0,4,0,22,0,2,0,68,29,5,0
196,13882,3935100750,28.3467854055612,3,9,2,2,22,14,4,0,11,0,36,3,1,0,146,56,25,5
193,14570,3745224660,25.7050422786548,3,8,2,1,22,12,4,0,11,0,36,2,0,0,135,54,24,5
183834,40945.3,40945300,0.1,1,6,24,0,40,2,2,0,5,0,26,2,1,0,154,23,28,10
183835,124.6,124600,0.1,1,4,14,0,30,2,2,0,5,0,14,2,2,0,85,15,26,8
183836,11929.1,11929100,0.1,0,1,8,1,3,2,2,0,0,0,5,0,2,0,36,5,0,1
183837,15868.4,15868400,0.1,1,1,1,0,1,0,0,0,5,1,24,0,5,1,21,8,3,1
97858,68,4624000,6.8,0,16,3,1,17,8,1,0,5,0,23,0,1,0,213,81,0,1
97859,60,5916000,9.86,0,16,3,0,16,6,1,0,6,0,19,0,0,0,208,80,0,0
97863,701,47668000,6.8,0,16,3,2,15,9,1,0,8,0,23,0,1,0,231,81,0,1
51,198,300960000,152,1,6,3,0,12,10,1,0,3,0,28,2,0,0,41,15,7,1
