"category","name","longitude","latitude","address","SW8","dist_nearestRV","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"public","경찰관서",126.9965885,37.297788,"경기도 수원시 장안구 정자동 873-4번지",0,1.18,2,40,87,15,238,36,5,20,6,158,10,2,22,898,88,74,26
"public","경찰관서",127.0334451,37.2941531,"경기도 수원시 장안구 연무동 11-2번지",0,0.81,1,29,35,5,42,39,4,13,6,64,5,6,8,547,53,26,15
"public","경찰관서",127.0540236,37.2720438,"경기도 수원시 영통구 매탄동 1196번지",0,0.6,1,36,62,16,96,24,4,11,4,129,18,4,1,614,64,63,29
"public","경찰관서",126.9723444,37.2585174,"경기도 수원시 권선구 탑동 911번지",0,1.65,0,4,9,4,8,8,6,2,0,6,5,1,1,35,6,2,1
"public","지구대",127.009536,37.2957877,"경기도 수원시 장안구 조원동 680-6번지",0,2.17,4,62,63,8,141,44,10,30,8,213,14,2,73,1345,100,100,49
"public","지구대",126.9879468,37.3103114,"경기도 수원시 장안구 파장동 566-14번지 노송지구대",0,0.56,2,24,35,2,55,8,13,9,5,83,7,2,20,442,31,35,14
"public","지구대",126.9931162,37.2867051,"경기도 수원시 팔달구 화서동 647-1번지",1,0.68,6,25,87,17,140,22,2,10,4,110,6,2,1,367,47,45,18
"public","지구대",127.0529953,37.2686023,"경기도 수원시 영통구 매탄동 1213-2번지",0,0.27,2,44,76,15,109,20,4,16,3,151,18,1,2,682,66,60,28
"public","지구대",126.9713094,37.2806825,"경기도 수원시 권선구 구운동 938번지",0,1.42,3,28,49,4,75,6,2,10,1,87,3,2,19,473,43,30,16
"public","지구대",127.0298887,37.2517966,"경기도 수원시 권선구 권선동 1268번지",1,1.04,3,48,112,13,169,22,5,37,2,160,6,2,38,883,76,99,35
"public","지구대",127.0377502,37.2630124,"경기도 수원시 팔달구 인계동 1117번지 매탄지구대",1,1.17,5,72,110,11,216,56,2,56,15,202,9,5,115,1664,189,164,40
"public","지구대",127.0777734,37.2547674,"경기도 수원시 영통구 영통동 1046-2번지 영통지구대",2,2.21,3,42,38,9,197,23,2,27,1,86,5,3,18,885,176,84,19
"public","지구대",126.999838,37.266072,"경기도 수원시 팔달구 매산로1가 18번지 매산지구대",2,1.14,2,43,49,3,106,37,11,30,4,137,7,2,106,943,147,63,27
