"data_category","SW8","PNILP","PAREA","JIMOK","SPFC1","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE"
"public",0,0.459533438875502,-0.214256742536911,"8","22","240","2","3","4"
"public",0,-0.331377563171333,-0.20753910745224,"8","14","210","2","2","4"
"public",0,1.27314323201247,-0.184850449176896,"8","22","220","2","7","2"
"public",3,-0.0291999067839322,-0.206464415710806,"8","14","330","2","4","2"
"public",1,0.158065119709668,-0.192084325913798,"8","14","160","2","6","4"
"public",1,0.190694631901735,-0.215662608168454,"8","14","220","2","7","6"
"public",1,2.00872593077711,-0.202052010645524,"8","22","240","2","3","5"
"public",1,1.05395803054837,-0.199879899542747,"8","14","240","2","4","2"
"public",1,0.181473248021368,-0.200399387997821,"8","23","230","2","4","4"
"public",1,-0.225686317157899,-0.200126656558907,"8","13","210","2","2","1"
"public",0,-0.303713411530233,-0.205178681784499,"8","14","160","2","1","2"
"public",1,2.20592167837264,-0.218747070870454,"8","16","220","2","4","5"
"public",2,0.748233688053137,-0.198064936752833,"8","22","240","2","4","6"
"public",0,1.66611605276041,-0.107576541484686,"8","13","240","2","7","4"
"public",0,0.296385877915169,-0.21068525940828,"8","14","220","2","2","7"
"public",1,3.16849228803861,-0.216578206570522,"8","22","240","2","7","2"
"public",1,0.0466991759237013,2.29577185985683,"15","43","210","2","7","4"
"public",3,0.656729186471036,-0.224201699648728,"1","16","240","2","5","2"
"public",0,0.307735273460235,-0.206935202123216,"8","22","160","2","4","5"
"public",1,0.394983751712936,-0.200376660377911,"8","16","240","2","3","2"
"public",1,0.286455156813235,-0.203685152476162,"8","14","240","2","2","5"
"public",1,0.00555761707283457,-0.211776185163934,"8","43","240","2","4","3"
"public",0,1.20788420762834,-0.218260050443823,"8","14","330","2","3","1"
"public",0,0.89648516736057,-0.214971039162638,"8","14","240","2","1","2"
"public",1,0.724825559741437,-0.207983919441896,"8","22","240","2","4","2"
"public",0,-0.4916877752454,-0.18907129287437,"8","13","220","2","4","7"
"public",1,-0.322156179290966,-0.115751991046408,"8","14","950","2","4","5"
"public",1,0.689358698663103,-0.206854032052111,"8","22","240","2","1","5"
"public",0,0.577992754877136,-0.183340685854339,"8","22","230","2","3","4"
"public",2,0.516280416600836,-0.20062991099976,"8","15","160","2","3","6"
"public",1,1.90090667309897,-0.218799019715962,"8","14","220","2","4","3"
"public",0,0.631902383716203,-0.203987105140673,"8","13","160","2","4","5"
"public",1,-0.0504800234309323,-0.220373719095404,"8","14","160","2","2","9"
"public",1,0.0296750826061013,-0.216909380460631,"8","14","160","3","4","9"
"public",0,-1.02709551008392,-0.210272915447065,"8","13","220","2","4","6"
