"category","name","longitude","latitude","address","SW8","dist_nearestRV","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"social","무봉종합사회복지관",127.0237567,37.2917314,"경기도 수원시 장안구 연무동 256-2번지",0,1.7,0,7,9,1,16,8,4,4,0,25,3,0,0,129,7,12,6
"social","연무사회복지관",127.0265873,37.2916768,"경기도 수원시 장안구 연무동 260-34번지",0,1.46,0,13,21,1,27,3,1,7,0,38,3,0,0,214,12,20,9
"social","유당마을",127.0108119,37.3095102,"경기도 수원시 장안구 조원동 119-3번지",0,1.06,0,1,13,3,4,0,0,0,1,2,3,0,0,17,4,2,0
"social","중앙양로원",126.9784853,37.2319925,"경기도 수원시 권선구 오목천동 747-1번지",0,3.06,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0
"social","예인가정폭력상담소",127.0220046,37.2755943,"경기도 수원시 팔달구 지동 371번지 새로나빌딩 704호",0,2.8,1,10,7,3,14,8,1,13,0,35,1,0,22,270,28,26,15
"social","수원가정법률상담소부설 가정폭력상담소",127.0112027,37.2734061,"경기도 수원시 팔달구 매산로3가 2-1번지 시민회관 3층",1,2.15,1,8,10,1,39,16,1,6,5,20,26,0,12,176,37,17,9
"social","외국인주민복지센터4",127.009342,37.2686308,"경기도 수원시 팔달구 매산로3가 72-2번지",3,1.96,1,17,15,2,53,9,2,8,1,66,6,1,41,327,45,17,7
"social","수원시 자살예방센터",126.999285,37.2793171,"경기도 수원시 팔달구 화서동 134-3번지",0,1.28,2,10,28,2,32,6,1,4,1,64,1,0,4,267,24,35,14
"social","수원시 자살예방센터",126.999285,37.2793171,"경기도 수원시 팔달구 화서동 134-3번지",0,1.28,2,10,28,2,32,6,1,4,1,64,1,0,4,267,24,35,14
"social","경기도 자살예방센터",126.9962507,37.2918412,"경기도 수원시 장안구 정자동 886-9번지",0,0.92,2,14,26,4,97,7,1,8,2,36,2,0,1,218,29,30,13
"social","경기도 자살예방센터",126.9962507,37.2918412,"경기도 수원시 장안구 정자동 886-9번지",0,0.92,2,14,26,4,97,7,1,8,2,36,2,0,1,218,29,30,13
"social","수원시노인정신건강센터",127.0697092,37.2568819,"경기도 수원시 영통구 영통동 961-18번지",2,1.63,1,5,12,3,61,6,0,5,1,13,4,0,2,123,20,19,3
"social","경기도정신건강증진센터",126.9963821,37.2918591,"경기도 수원시 장안구 정자동 886-9번지",0,0.93,2,14,26,4,97,7,1,8,2,36,2,0,1,219,29,30,13
"social","수원시정신건강증진센터",127.0106747,37.2704968,"경기도 수원시 팔달구 매산로3가 43-1번지",1,2.13,1,12,8,2,48,10,2,5,4,41,7,0,34,228,33,12,10
"social","수원시통합정신건강증진센터",127.0096236,37.3033812,"경기도 수원시 장안구 조원동 888번지",0,1.73,1,15,24,2,45,6,0,9,4,50,10,0,1,285,35,43,18
"social","수원시아동청소년정신건강증진센터",126.9993595,37.279396,"경기도 수원시 팔달구 화서동 134-3번지",0,1.29,2,10,28,2,32,6,1,4,1,64,0,0,4,267,24,35,14
"social","수원시청소년상담복지센터",127.0696287,37.2527515,"경기도 수원시 영통구 도청로 17-24번지 광교청소년수련관 3층",1,2.03,2,9,25,2,105,9,0,13,1,28,2,0,3,218,45,66,11
"social","수원시청소년상담복지센터",127.0350111,37.2736313,"경기도 수원시 권선구 덕영대로 1201-42번지 권선청소년수련관 2층(권선동)",0,1.72,1,4,24,1,43,15,1,1,3,38,1,0,12,109,15,10,6
"social","경기도청소년상담복지센터",127.0078501,37.3001881,"경기도 수원시 장안구 송죽동 505-3번지",0,2.09,1,14,13,1,32,18,1,6,5,42,7,1,10,289,39,41,18
"social","수원남자청소년 쉼터",127.0259228,37.2715685,"경기도 수원시 팔달구 인계동 969-9번지",0,2.36,0,16,12,2,11,17,2,8,1,44,1,0,7,304,27,12,7
"social","수원여자청소년 쉼터",127.0211075,37.2600469,"경기도 수원시 권선구 권선동 973번지",2,1.47,0,24,24,1,27,12,5,6,0,65,2,0,17,427,28,16,12
"social","치매상담센터19",127.0697092,37.2568819,"경기도 수원시 영통구 영통동 961-18번지",2,1.63,1,5,12,3,61,6,0,5,1,13,4,0,2,123,20,19,3
"social","치매상담센터20",127.0125194,37.2714986,"경기도 수원시 팔달구 교동 56-1번지",1,2.28,1,8,6,1,50,16,1,5,4,24,11,0,23,222,41,17,11
"social","치매상담센터21",126.9711281,37.2587442,"경기도 수원시 권선구 탑동 910번지",0,1.76,0,0,2,1,0,7,1,1,0,0,4,0,0,11,3,0,0
"social","치매상담센터22",127.0096236,37.3033812,"경기도 수원시 장안구 조원동 888번지",0,1.73,1,15,24,2,45,6,0,9,4,50,10,0,1,285,35,43,18
"social","치매상담센터23",126.9910652,37.3156281,"경기도 수원시 장안구 파장동 184번지",0,0.53,0,1,1,0,0,2,3,3,1,0,0,0,0,11,1,0,0
"social","수원시치매지원센터",127.06882,37.253286,"경기도 수원시 영통구 영통동 961-18번지",1,1.94,2,6,27,4,68,7,0,10,1,19,2,0,2,137,28,48,7
"library","선경도서관",127.010433,37.283861,"경기도 수원시 팔달구 신풍동 123-69번지",0,2.23,0,7,7,0,7,7,2,5,3,18,3,3,6,79,27,7,2
"library","한아름도서관",127.035011,37.273631,"경기도 수원시 팔달구 인계동 334-1번지",0,1.72,1,4,24,1,43,15,1,1,3,38,1,0,12,109,15,10,6
"library","서수원도서관",126.97207,37.273118,"경기도 수원시 권선구 탑동 746-1번지",0,1.25,0,12,24,1,26,1,0,3,0,45,1,0,0,248,14,19,10
"library","인도래작은도서관",127.027398,37.272494,"경기도 수원시 팔달구 인계동 961-16번지",0,2.27,1,14,12,2,12,17,2,8,1,37,0,0,15,233,25,14,12
"library","화홍어린이도서관",127.017118,37.285662,"경기도 수원시 팔달구 북수동 44-2번지",0,2.47,0,5,4,6,19,7,1,5,10,13,8,3,20,150,33,8,5
"library","반달어린이도서관",127.077386,37.250685,"경기도 수원시 영통구 영통동 1012-5번지",2,2.58,2,34,7,2,137,11,1,14,0,55,1,2,16,718,146,44,10
"library","사랑샘도서관",127.03605,37.295548,"경기도 수원시 영통구 이의동 1088-13번지",0,0.59,0,1,3,1,5,6,3,0,3,2,2,3,0,19,2,3,1
"library","희망샘도서관",126.972927,37.247752,"경기도 수원시 권선구 고색동 905-11번지",2,1.94,0,0,2,1,7,4,3,0,0,5,0,0,0,31,2,4,1
"library","영통도서관",127.072059,37.257187,"경기도 수원시 영통구 영통동 961-1번지",2,1.72,1,6,9,2,71,8,1,7,0,18,2,0,5,141,31,37,7
"library","바른샘어린이도서관",127.052367,37.268857,"경기도 수원시 영통구 매탄동 1213번지",0,0.31,0,6,26,6,49,5,0,2,1,40,4,1,0,131,17,12,7
"library","지혜샘어린이도서관",127.04008,37.248008,"경기도 수원시 권선구 권선동 1310번지",1,0.17,1,9,12,4,34,3,1,5,0,29,0,1,0,126,23,8,3
"library","슬기샘어린이도서관",126.999111,37.297575,"경기도 수원시 장안구 송죽동 417-23번지",0,1.4,0,11,12,3,72,11,2,6,1,21,7,2,0,246,27,13,4
"library","태장마루도서관",127.051003,37.238669,"경기도 수원시 영통구 망포동 234-44번지",1,1.29,0,5,28,5,70,6,1,3,0,25,3,1,0,96,12,17,7
"library","광교홍재도서관",127.047441,37.302936,"경기도 수원시 영통구 이의동 1209번지",1,0.85,0,9,7,2,7,0,0,2,0,19,0,0,0,44,20,6,2
"library","일월도서관",126.977793,37.286894,"경기도 수원시 장안구 천천동 453-1번지",0,0.61,0,6,26,5,48,1,0,4,0,24,0,2,0,73,17,18,6
"library","대추골도서관",127.008094,37.306611,"경기도 수원시 장안구 조원동 198-14번지",0,1.45,1,6,26,4,35,5,2,7,5,27,9,0,0,154,20,29,13
"library","북수원도서관",126.988306,37.297665,"경기도 수원시 장안구 정자동 869-1번지",0,0.59,0,5,27,5,82,6,0,9,3,23,1,1,0,99,19,29,6
"library","버드내도서관",127.015168,37.257114,"경기도 수원시 권선구 세류동 503-2번지",1,0.87,1,25,23,1,18,10,0,6,0,79,2,0,1,493,26,19,13
"library","한림도서관",127.024869,37.237719,"경기도 수원시 권선구 권선동 1355-4번지",0,1.01,0,8,14,1,14,2,0,3,0,21,0,2,0,199,13,5,1
"library","호매실도서관",126.957993,37.266338,"경기도 수원시 권선구 호매실동 1369번지",0,2.59,1,7,23,5,39,0,1,2,0,19,1,0,0,151,12,11,5
"library","화서다산도서관",126.997429,37.285646,"경기도 수원시 팔달구 화서동 262번지",1,1.07,1,7,26,6,27,4,1,3,2,25,2,1,0,49,10,6,3
"library","창룡도서관",127.027549,37.290742,"경기도 수원시 팔달구 우만동 582번지",0,1.4,0,12,23,2,26,6,1,5,0,31,2,0,0,207,10,18,9
"library","중앙도서관",127.012132,37.273582,"경기도 수원시 팔달구 교동 3-3번지",1,2.23,0,7,7,1,42,19,1,9,6,15,26,0,24,206,49,20,10
"sports","수원 종합운동장 실내체육관",127.0103719,37.2984687,"경기도 수원시 장안구 조원동 775-1번지",0,2.24,1,16,15,2,38,10,3,5,0,52,3,1,14,290,24,36,15
"sports","만석 배드민턴 전용경기장",127.0041822,37.3007469,"경기도 수원시 장안구 송죽동 316번지",0,1.76,1,12,10,3,23,13,1,4,4,31,1,1,7,276,44,33,16
"sports","수원종합운동장야구장",127.0103719,37.2984687,"경기도 수원시 장안구 조원동 775-1번지",0,2.24,1,16,15,2,38,10,3,5,0,52,3,1,14,290,24,36,15
"sports","수원시 양궁장",126.9727105,37.3095992,"경기도 수원시 장안구 율전동 8-3번지",0,0.8,0,0,0,0,4,1,1,1,0,1,0,3,0,8,3,0,0
"sports","수원종합운동장 주경기장",127.0103719,37.2984687,"경기도 수원시 장안구 조원동 775-1번지",0,2.24,1,16,15,2,38,10,3,5,0,52,3,1,14,290,24,36,15
"sports","수원종합운동장 보조구장",127.0103719,37.2984687,"경기도 수원시 장안구 조원동 775-1번지",0,2.24,1,16,15,2,38,10,3,5,0,52,3,1,14,290,24,36,15
"sports","여기산 인조잔디구장",126.9860417,37.2726049,"경기도 수원시 권선구 서둔동 256번지",0,0.02,0,2,4,0,0,8,0,1,1,9,1,0,0,35,1,2,2
"sports","매탄 인조잔디구장",127.0458181,37.267825,"경기도 수원시 영통구 매탄동 811번지",0,0.57,2,13,38,3,45,5,0,5,0,49,1,0,0,256,24,15,8
"sports","지방산업단지 인조잔디구장",126.9782793,37.2437091,"경기도 수원시 권선구 고색동 919번지",1,1.91,0,3,8,0,6,3,0,2,0,7,0,0,1,50,3,2,0
"sports","만석 인조잔디구장",127.0025536,37.3017885,"경기도 수원시 장안구 송죽동 239-2번지",0,1.61,0,11,11,1,17,11,2,3,4,27,2,1,0,264,37,15,13
"sports","올림픽공원 테니스장",127.0262933,37.2607379,"경기도 수원시 권선구 권선동 1012번지",1,1.79,1,28,17,1,44,15,4,16,1,71,5,0,57,355,40,38,13
"sports","만석공원 테니스장",127.0017775,37.300282,"경기도 수원시 장안구 송죽동 305번지",0,1.56,0,9,11,3,13,14,2,2,2,22,2,1,1,211,27,9,5
"sports","오목천체육공원 정구장",126.9701187,37.2440463,"경기도 수원시 권선구 오목천동 134번지",2,2.38,0,4,10,3,10,3,2,2,0,7,0,0,0,34,5,5,1
"sports","합정레포츠 하키장",127.2705689,37.00197,"경기도 수원시 권선구 오목천동 883-1번지",0,33.4,0,10,4,0,4,17,0,4,0,13,3,0,12,184,12,12,9
"medical","영통구보건소",127.0693887,37.2567367,"경기도 수원시 영통구 영통2동 961번지 18호",2,1.63,1,5,14,3,61,6,0,5,1,11,4,0,2,128,20,19,3
"medical","장안구보건소",127.010033,37.3036806,"경기도 수원시 장안구 조원동 888번지 장안구보건소",0,1.69,1,15,29,2,46,5,0,10,4,48,10,0,1,270,35,44,17
"medical","수원시권선구보건소",126.9711158,37.2583459,"경기도 수원시 권선구 탑동 910번지",0,1.76,0,0,2,1,0,7,1,1,0,0,4,0,0,12,3,0,0
"medical","수원시팔달구보건소",127.0123638,37.2713787,"경기도 수원시 팔달구 교동 56번지 1호",1,2.26,1,8,6,1,50,15,1,5,4,22,8,0,25,219,38,15,10
