"category","longitude","latitude","SW8","PNU","PNILP","PAREA","JIMOK","SPFC1","SPFC2","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"library",126.8716498,37.3154123,0,4.12711e+18,1550000,1035.5,8,14,0,330,2,1,5,0,20,26,2,21,28,1,7,2,43,2,6,9,232,20,13,9
"library",126.8632521,37.3069943,2,4.12711e+18,489600,3007,8,43,0,160,2,7,4,0,45,50,6,54,37,2,17,2,175,6,3,25,682,52,61,20
"library",126.900016,37.3041295,1,4.12711e+18,905000,793,8,14,0,160,2,4,8,2,6,23,4,17,5,1,3,0,27,3,6,6,120,15,7,7
"library",127.1831671,37.0081631,0,4.15503e+18,517900,30795,8,14,0,140,2,7,6,1,7,32,2,6,2,5,3,0,13,0,1,1,46,2,1,0
"library",127.173,37.0035826,0,4.15503e+18,127000,13581,22,43,0,150,3,1,8,1,14,49,5,45,7,6,6,0,38,3,1,4,266,22,20,7
"library",127.2005722,37.0042968,0,4.15503e+18,590000,42910,8,14,0,140,2,7,5,3,5,6,1,5,2,3,3,1,8,0,0,0,48,6,4,1
"library",127.153805,37.000608,0,4.15503e+18,609900,21692,8,15,0,140,2,7,6,0,11,41,2,10,1,2,2,0,20,0,0,0,68,6,4,2
"library",127.1587457,36.9993852,0,4.15503e+18,774800,72944,8,15,0,140,2,7,4,0,13,40,2,19,4,3,2,0,26,0,0,2,147,10,9,3
"library",127.1443901,36.9942491,0,4.15503e+18,603000,7240,28,43,0,220,2,7,1,4,25,49,5,45,8,4,5,1,50,0,0,3,240,21,11,6
"library",127.268818,37.0153548,0,4.15501e+18,283800,17000,22,13,0,930,2,7,4,3,36,25,9,89,44,8,13,1,38,5,1,16,572,53,62,21
"library",127.3231445,37.0148332,0,4.15503e+18,187700,18098,8,43,0,220,3,7,6,0,2,7,0,0,2,2,2,2,9,0,4,1,42,0,1,1
"library",127.3748355,37.073125,0,4.15504e+18,247100,1596,5,43,0,220,2,3,6,0,3,2,1,1,0,3,2,0,7,1,1,3,26,0,0,1
"library",127.4769589,37.0905746,0,4.15504e+18,464900,3188,8,13,0,220,2,4,6,1,3,4,3,2,2,1,1,1,10,2,2,1,80,8,5,2
"library",127.4238622,37.0769078,0,4.15504e+18,377800,727,8,14,0,160,2,2,8,1,4,5,3,6,3,2,3,0,16,3,0,1,104,4,4,4
"library",126.9578036,37.3960575,2,4.11731e+18,422400,39499,22,43,0,930,2,7,0,4,53,96,13,136,61,7,54,8,189,17,1,24,1338,234,202,50
"library",126.968211,37.411172,0,4.11731e+18,374500,13874,22,43,0,750,2,7,5,1,22,29,5,30,16,1,6,1,52,2,5,0,266,62,20,7
"library",126.9376493,37.3991121,0,4.11731e+18,2759000,1000.1,8,15,0,160,2,1,1,3,20,85,11,138,33,5,20,1,128,7,1,8,333,39,57,22
"library",126.9764293,37.3938426,1,4.11731e+18,2900000,448,8,14,0,220,2,4,5,2,47,71,11,143,33,8,35,1,177,2,3,27,899,104,99,37
"library",126.954594,37.384981,1,4.11731e+18,2082000,1398.5,8,13,0,160,2,2,1,3,41,73,11,482,54,5,46,9,180,12,5,4,1170,231,160,39
"library",126.9505302,37.3830584,1,4.11731e+18,2085000,5220.5,8,14,0,160,2,2,6,2,42,67,8,429,45,8,35,7,142,8,2,3,981,179,142,33
"library",126.9035738,37.4025131,0,4.11711e+18,1848000,674,8,14,0,240,2,4,1,0,25,74,10,94,27,5,12,0,104,4,1,3,447,41,34,11
"library",126.902654,37.4116018,0,4.11711e+18,355700,11470,22,44,0,160,3,7,6,0,21,55,4,63,28,1,8,1,88,5,4,4,348,25,29,15
"library",126.9262236,37.3861957,1,4.11711e+18,28300,107390,5,44,43,720,4,7,4,0,40,31,10,42,47,2,27,11,115,12,0,60,617,72,29,16
"library",126.9220545,37.3989018,1,4.11711e+18,2070000,1047.2,8,14,0,330,2,4,5,3,66,74,9,165,52,6,48,4,208,10,2,82,1442,203,150,59
"library",127.0827295,37.792871,0,4.16301e+18,86700,75051.1,22,43,0,930,2,7,2,2,18,52,5,40,3,4,7,2,33,3,2,0,267,31,27,7
"library",127.205722,37.632082,1,4.16303e+18,726700,1021.9,8,14,0,320,2,3,6,2,11,21,4,33,7,3,6,3,50,6,2,3,250,19,23,10
"library",126.9758226,37.8980257,0,4.16303e+18,401600,2252,5,14,0,160,2,4,7,1,4,3,3,2,2,4,1,0,5,2,0,4,86,5,3,4
"library",127.0467112,37.8215851,1,4.16301e+18,1728000,1479,8,16,0,330,2,4,4,3,17,29,4,22,5,3,8,0,37,4,6,4,253,23,21,11
"library",127.063129,37.842948,1,4.16301e+18,750700,949,8,14,22,160,2,4,9,4,18,25,5,27,12,5,6,1,56,8,1,3,294,26,26,14
"library",127.0630381,37.8429482,1,4.16301e+18,750700,949,8,14,22,160,2,4,9,4,18,25,4,23,12,5,6,1,55,8,1,3,292,26,26,14
"library",126.9869306,37.7923655,0,4.16303e+18,295600,6043,8,13,43,160,2,4,6,2,5,18,4,13,5,5,0,0,35,4,0,1,152,4,8,5
"library",127.1074495,37.7956446,0,4.16301e+18,1109000,3388,8,14,0,210,2,4,6,3,4,38,4,17,3,0,2,0,18,1,3,0,92,10,7,4
"library",127.4780667,37.4806946,0,4.18303e+18,184000,650,2,64,0,160,2,7,6,0,4,3,1,1,1,3,0,0,18,3,1,3,50,5,0,1
"library",127.4109236,37.4958237,0,4.18303e+18,467200,152,8,64,0,220,2,7,8,0,1,3,1,1,5,1,1,1,5,3,2,7,24,3,1,0
"library",127.5399006,37.4278937,0,4.18304e+18,144100,1060,8,43,0,110,2,7,6,1,1,3,2,1,0,1,0,0,6,2,0,0,35,6,0,1
"library",127.3489874,37.6066913,0,4.18304e+18,476400,1852,8,64,0,160,2,4,6,1,2,3,2,2,0,0,0,3,35,5,3,7,65,6,4,1
"library",127.7546497,37.4190991,0,4.18304e+18,390600,3332,8,14,0,160,2,7,6,1,1,2,2,1,1,1,0,0,12,3,0,1,34,6,2,1
"library",127.3232489,37.5421345,1,4.18303e+18,612000,1406,17,14,0,160,2,7,8,1,8,6,3,6,11,1,2,1,24,4,5,7,140,27,6,8
"library",127.4945133,37.4855673,1,4.18303e+18,722100,5152,8,13,0,160,2,2,8,3,15,8,2,33,21,1,11,2,39,6,2,16,371,43,48,15
"library",127.5962201,37.4871987,1,4.18304e+18,1065000,1052,2,14,0,220,2,7,4,2,14,6,3,14,6,3,3,0,44,5,1,7,179,16,14,8
"library",127.6386321,37.4736986,1,4.18304e+18,254200,5134,8,14,0,160,2,4,6,1,1,2,3,0,0,0,0,1,7,2,5,0,26,4,2,1
"library",127.7083138,37.5536314,0,4.18304e+18,216500,3274,8,22,0,150,2,7,4,1,1,2,3,0,3,2,0,0,6,2,6,1,25,4,0,3
"library",127.6834115,37.3276172,0,4.16704e+18,155000,1169,8,43,0,160,2,4,6,1,1,1,3,1,1,1,0,0,1,3,4,0,31,1,1,1
"library",127.443305,37.4033829,0,4.16704e+18,158900,1706,8,64,0,160,2,7,8,1,0,2,2,1,2,0,1,1,3,4,2,1,15,0,0,2
"library",127.6511727,37.2997233,0,4.16701e+18,164200,19921,5,43,0,530,2,7,2,1,11,5,3,12,10,3,1,7,15,1,26,22,128,19,0,1
"library",127.6252265,37.2969223,0,4.16701e+18,570000,9557,8,43,0,220,3,7,5,2,12,8,3,37,22,3,2,1,18,3,5,10,324,28,31,6
"library",127.074576,38.0981105,0,4.18003e+18,137400,4247,8,13,0,160,2,7,7,1,3,5,1,2,15,1,1,2,21,9,0,5,75,4,3,3
"library",127.0686875,38.0323136,0,4.18003e+18,237100,3306,8,13,0,160,2,4,8,0,17,19,3,19,24,2,7,0,31,5,0,24,310,33,25,15
"library",127.0465581,37.1424489,0,4.13701e+18,543100,860,8,43,16,230,2,7,12,1,3,27,2,6,1,3,0,0,15,1,2,1,67,3,6,2
"library",127.0843941,37.2481271,0,4.13701e+18,1228000,8342.9,8,14,41,160,2,7,5,1,32,17,5,99,26,3,17,1,49,1,6,12,656,131,5,4
"library",127.0322247,37.1942201,0,4.13701e+18,883200,1113.4,8,13,0,160,2,2,4,1,12,23,2,22,4,1,10,2,13,0,1,2,98,11,3,2
"library",127.0768604,37.1538369,0,4.13701e+18,1268000,2970.1,8,15,0,160,2,3,5,2,32,69,6,91,33,4,15,5,59,13,2,34,733,55,56,24
"library",127.0718335,37.1384776,1,4.13701e+18,1679000,1508.9,8,14,0,160,2,3,5,2,39,71,9,89,29,10,19,4,67,6,1,65,634,67,75,29
"library",127.0639449,37.155031,0,4.13701e+18,567600,515,1,13,0,160,3,7,8,1,69,24,7,56,46,5,14,1,100,8,2,36,895,43,43,22
"library",127.1083336,37.2479054,0,4.14631e+18,231000,42100.6,22,43,0,930,3,7,4,2,14,41,4,36,11,6,7,1,26,1,4,1,191,17,22,9
"library",127.1189832,37.2967623,0,4.14631e+18,880700,6060,8,14,0,160,2,7,8,3,17,73,8,104,5,3,11,1,72,3,0,3,278,33,35,13
"library",127.0839281,37.2749836,0,4.14631e+18,1361000,3674,8,14,0,160,2,4,4,1,10,43,4,62,1,7,6,2,40,2,1,0,112,21,20,12
"library",127.1580496,37.2741473,1,4.14631e+18,270600,41332.9,22,43,0,930,2,7,4,3,15,53,6,166,2,2,18,4,73,3,1,1,423,64,58,12
"library",127.147096,37.292752,0,4.14631e+18,681700,3366.2,22,43,0,160,2,7,2,0,11,43,5,20,4,5,4,0,24,0,0,0,78,22,6,5
"library",127.074258,37.299742,1,4.14651e+18,1178000,5435.6,8,14,0,160,2,4,4,2,25,43,10,57,4,3,17,0,80,4,2,1,240,53,41,14
"library",127.1186256,37.3304325,0,4.14651e+18,231000,6509,22,43,0,930,3,7,2,3,34,85,10,233,9,5,27,2,150,3,1,1,547,113,79,28
"library",127.0946873,37.320276,1,4.14651e+18,1122000,15538.5,22,43,0,160,2,2,4,3,37,74,9,248,22,8,36,4,133,10,3,16,696,88,96,37
"library",127.2496259,37.3356095,0,4.14613e+18,1094000,1702,8,14,0,160,2,7,1,1,12,10,2,20,4,2,2,0,31,3,3,2,102,15,8,6
"library",127.179111,32.240903,0,4.14611e+18,2962000,81403.4,8,21,0,220,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"library",127.2855002,37.2375822,0,4.14614e+18,437500,2832,8,14,0,160,2,7,8,1,8,8,2,19,0,1,1,0,17,6,1,5,148,17,6,3
"library",127.1904014,37.2334807,2,4.14611e+18,724800,8643,8,43,0,160,3,7,8,2,36,24,4,78,11,1,10,1,81,6,4,5,454,34,22,12
"library",127.1997539,37.1391215,0,4.14613e+18,286000,2000,22,43,0,160,2,7,7,0,6,9,3,4,2,6,0,0,13,3,1,1,77,6,4,3
"library",127.2325654,37.2789152,0,4.14613e+18,475000,2667,8,14,0,160,2,7,8,1,5,4,2,12,7,2,1,0,13,7,4,3,65,7,1,1
"library",126.9697264,37.3422039,0,4.14301e+18,1071000,4909,8,44,0,160,2,7,6,1,6,12,1,14,14,3,5,0,28,9,3,1,115,10,10,7
"library",126.9756154,37.3781919,0,4.14301e+18,2673000,1747.5,8,15,0,160,2,4,5,1,20,34,6,93,21,2,16,0,91,5,3,10,312,44,22,7
"library",126.9816985,37.3872754,0,4.14301e+18,2468000,6761.9,8,14,0,160,2,2,5,0,27,63,7,128,29,5,17,0,150,2,4,9,434,55,59,22
"library",126.9567291,37.3184847,1,4.14301e+18,976000,1662,8,16,0,310,2,3,7,1,12,30,5,35,13,1,5,2,39,2,8,6,227,15,22,12
"library",126.9705887,37.3576385,0,4.14301e+18,1553000,6392,8,13,0,160,2,4,6,1,17,48,4,59,14,5,11,1,65,3,0,0,284,30,39,16
"library",126.9715047,37.3534761,0,4.14301e+18,1627000,1781.9,8,13,0,160,2,4,7,1,21,45,6,51,22,7,13,2,75,7,1,1,314,26,36,17
"library",126.9960841,37.3885835,0,4.14301e+18,1744000,1881,8,44,0,160,2,7,2,0,2,10,4,12,14,4,3,0,11,4,7,1,75,18,3,2
"library",127.0384877,37.7505409,2,4.11501e+18,2406000,1671,8,14,0,240,2,4,5,1,42,65,10,93,36,6,23,0,151,15,1,4,971,56,44,24
"library",127.039931,37.74142,7,4.11501e+18,1866000,2064.2,8,14,0,330,2,4,5,4,101,55,10,147,64,4,60,8,201,16,6,93,2183,193,138,42
"library",127.0582251,37.7502752,2,4.11501e+18,1405000,1184,8,14,0,330,2,4,4,0,32,85,7,88,19,4,12,2,81,5,1,26,626,49,32,16
"library",127.0322732,37.7600465,1,4.11501e+18,1800000,775.8,8,14,0,330,2,2,5,1,17,45,5,38,20,2,9,0,60,8,0,0,258,28,17,10
"library",127.108841,37.745662,0,4.11501e+18,2143000,1153,8,22,0,210,2,4,5,1,10,9,5,9,1,1,5,1,33,0,1,0,107,15,9,2
"library",127.0692042,37.744799,2,4.11501e+18,525700,9455,8,43,0,160,3,4,4,3,28,82,8,130,18,3,17,1,62,11,0,3,416,37,52,17
"library",127.0579769,37.7436996,3,4.11501e+18,1800000,1300.3,8,14,0,330,2,3,5,2,56,106,7,114,30,3,30,3,132,8,4,77,1419,135,110,44
"library",127.057985,37.730794,1,4.11501e+18,1577000,777.6,8,14,0,210,2,2,6,2,35,107,8,119,18,10,11,0,106,6,2,22,668,37,58,22
"library",127.0866851,37.7311817,2,4.11501e+18,1239000,1592,8,43,0,240,2,4,2,2,21,54,6,51,2,2,7,0,59,3,1,1,363,26,25,11
"library",127.0460187,37.7384318,6,4.11501e+18,2999800,69791,15,22,14,210,2,7,5,3,105,53,7,115,60,6,57,6,199,14,6,163,2185,210,163,49
"library",127.0475771,37.7464356,6,4.11501e+18,1505000,1269.5,22,14,0,160,2,3,7,3,74,65,12,143,45,5,50,6,181,12,4,96,1919,187,161,53
"library",127.0348137,37.7365584,4,4.11501e+18,1355000,16685,8,43,0,220,2,1,1,1,57,41,4,48,40,5,31,7,100,11,2,43,891,61,64,20
"library",127.0489222,37.7327394,7,4.11501e+18,1841000,1383.5,8,15,0,220,2,3,5,2,90,108,5,163,45,5,47,3,175,10,5,101,1916,165,178,53
"library",127.0427947,37.7407861,7,4.11501e+18,2403000,454.2,8,22,14,220,2,4,2,4,111,44,8,145,68,4,64,7,217,16,6,143,2468,226,174,54
"library",127.0542544,37.7264068,4,4.11501e+18,2189000,700,8,14,0,240,2,3,5,2,40,129,7,150,23,8,15,0,97,7,1,18,711,50,72,25
"library",127.0426061,37.7266206,4,4.11501e+18,1256000,1978,8,14,0,160,2,4,5,2,40,101,5,111,23,6,18,0,78,5,2,20,592,36,60,23
"library",127.0487645,37.7120303,1,4.11501e+18,1344000,1249.8,8,14,0,160,2,3,6,0,19,41,8,37,20,4,9,0,26,3,1,4,300,20,20,11
"library",127.615143,37.117063,0,4.15003e+18,390100,3305.8,8,14,0,150,2,7,8,2,3,3,1,5,7,2,0,0,9,2,0,1,39,2,4,1
"library",127.440512,37.278108,0,4.15001e+18,1186000,328.4,8,14,0,220,2,1,5,5,58,18,4,111,55,5,27,6,120,9,5,63,1222,97,106,40
"library",127.436913,37.286745,0,4.15001e+18,232800,8282,5,43,0,160,3,7,6,1,28,23,7,76,27,6,11,2,65,5,5,26,564,44,25,13
"library",126.7800447,37.7585136,1,4.14801e+18,1009000,1387.9,8,14,0,160,2,2,6,0,46,52,6,61,34,2,14,5,100,13,0,37,884,62,70,34
"library",126.7707155,37.7500195,1,4.14801e+18,409200,30997.1,22,14,0,930,2,4,0,0,27,63,7,90,20,6,11,2,80,4,1,0,623,46,44,23
"library",126.7202412,37.7340427,0,4.14801e+18,323400,13051.4,22,43,0,930,2,7,4,1,8,21,1,40,8,1,6,0,42,1,0,0,125,15,16,5
"library",126.7123007,37.7233201,0,4.14801e+18,323400,83126,22,43,0,930,0,7,0,1,17,43,6,82,15,1,11,0,59,2,0,0,291,36,34,11
"library",126.748128,37.7266888,0,4.14801e+18,1369000,3659.8,8,14,0,160,2,4,6,0,22,52,9,53,5,1,9,1,54,3,1,0,186,25,31,6
"library",126.7833404,37.8532897,1,4.14803e+18,707600,1971,8,13,0,160,2,4,5,2,14,25,4,36,19,7,9,2,57,4,0,22,424,21,32,21
"library",126.7910164,37.8567524,1,4.14803e+18,669900,30418.8,8,43,0,160,2,3,4,2,17,28,4,37,24,5,10,3,54,3,0,22,447,23,31,21
"library",126.8863408,37.8475022,0,4.14803e+18,325000,179,8,43,0,330,2,7,7,1,0,5,3,7,5,5,0,0,3,3,3,4,36,2,2,3
"library",126.7783539,37.7714159,1,4.14801e+18,1203000,5380,8,43,0,220,3,4,5,1,18,47,4,19,13,4,7,1,35,3,1,12,219,18,35,11
"library",126.7494208,37.7119914,0,4.14801e+18,1463000,2382.6,8,14,0,160,2,7,5,2,15,47,7,54,14,3,11,0,37,2,1,0,192,31,39,8
"library",126.7638785,37.7305379,1,4.14801e+18,458700,51594.4,22,43,0,930,0,0,0,0,15,36,4,18,9,0,3,1,23,0,0,0,158,13,6,3
"library",126.9176169,37.954283,0,4.14804e+18,514100,4543,8,13,0,240,2,7,4,2,6,6,2,4,5,4,3,0,8,3,1,16,130,5,8,5
"library",126.8066099,37.7475288,0,4.14803e+18,559900,1295.4,8,13,43,160,2,7,6,1,8,29,3,32,6,4,3,1,20,3,0,3,174,14,16,7
"library",126.7161227,37.8024592,0,4.14803e+18,287300,2783,8,13,0,160,3,7,8,1,3,3,2,0,1,1,0,0,10,3,0,1,38,0,0,0
"library",127.0936728,36.9957404,1,4.12201e+18,267300,2209.6,22,13,0,930,2,1,7,3,63,33,12,146,36,1,38,4,109,7,1,52,1245,132,132,53
"library",127.1031994,36.9960751,0,4.12201e+18,1145000,1024.4,8,13,0,330,2,2,5,4,53,56,16,193,20,2,23,3,139,13,0,8,808,92,63,23
"library",127.063504,37.0726745,1,4.12201e+18,264000,16485.4,22,13,0,930,2,7,8,1,54,46,8,90,18,5,31,5,119,4,3,24,762,66,44,18
"library",127.0557291,37.0661545,0,4.12201e+18,1138000,483.5,8,13,0,240,2,4,4,2,50,40,6,71,25,6,27,5,170,4,2,16,778,61,38,18
"library",126.9198827,36.989799,0,4.12203e+18,598100,14184,8,43,0,220,2,7,4,2,13,30,9,31,16,1,11,1,53,3,1,4,262,26,27,17
"library",126.9797145,37.0076039,0,4.12203e+18,415100,853,8,64,0,160,2,4,7,1,4,3,2,4,1,3,0,0,14,2,1,1,35,2,2,1
"library",127.065197,37.0527962,0,4.12201e+18,305200,5914,8,43,0,160,2,7,5,1,16,50,9,68,9,6,8,0,102,2,1,7,303,33,28,15
"library",127.0602589,37.0789294,1,4.12201e+18,705900,1741.1,8,43,0,240,2,3,1,1,54,50,7,65,32,9,22,1,140,5,3,60,567,50,45,30
"library",126.917936,37.0205135,0,4.12203e+18,772000,247.2,8,13,0,330,2,1,5,1,7,16,4,7,0,0,3,0,11,0,1,0,95,8,8,2
"library",127.0994157,37.0332923,0,4.12201e+18,450200,902,8,13,43,160,2,4,4,0,4,4,0,3,4,3,3,0,3,0,1,1,32,2,0,0
"library",127.0517064,36.9648583,0,4.12203e+18,324600,2000,8,43,0,160,2,7,8,3,20,15,3,9,13,1,5,0,65,5,2,8,258,10,12,10
"library",126.8474985,36.9897444,0,4.12203e+18,77500,15000.1,22,43,0,930,2,7,5,0,19,13,3,13,2,3,1,0,26,0,2,4,304,12,6,3
"library",127.186262,37.848699,0,4.16503e+18,657500,6648,8,14,0,220,2,7,8,1,2,3,2,5,0,3,0,0,17,4,2,0,58,3,2,4
"library",127.137558,37.82975,0,4.16503e+18,980000,4003.1,8,14,0,960,2,4,8,3,20,37,9,32,13,4,7,0,54,6,1,12,436,43,33,15
"library",127.205771,37.908101,0,4.16503e+18,367100,6815,8,13,0,160,2,4,4,1,7,7,3,17,14,5,4,0,9,1,8,5,93,1,4,2
"library",127.27423,38.0877218,0,4.16504e+18,133900,1382,8,13,0,160,2,7,8,1,5,10,3,3,5,1,2,0,2,6,1,12,122,13,4,4
"library",127.2454907,38.0057079,0,4.16504e+18,145300,6600,8,43,0,160,2,4,6,1,5,3,1,1,1,3,0,0,5,3,2,1,64,4,3,2
"library",127.315553,37.954934,0,4.16504e+18,200600,1745,8,14,0,160,2,4,4,1,6,10,3,7,7,2,2,0,13,4,4,15,180,10,8,7
"library",127.200653,37.533569,0,4.14501e+18,795300,33,8,15,0,910,2,7,6,2,23,33,4,53,16,3,13,1,123,5,2,14,637,38,70,31
"library",127.2084368,37.5533776,0,4.14501e+18,694000,67983.1,22,43,22,930,2,7,2,1,9,22,5,23,5,1,22,5,40,4,1,0,141,29,14,5
"library",127.2143769,37.5378807,0,4.14501e+18,693000,13911.9,22,43,0,930,2,2,2,3,26,64,11,106,16,6,18,7,174,9,1,20,685,59,77,28
"library",127.0566173,37.2093308,0,4.15901e+18,205200,13590.2,22,43,0,930,2,4,5,5,30,98,12,95,3,3,10,0,121,1,2,0,528,83,31,8
"library",126.9465073,37.2438212,0,4.15903e+18,915300,74,8,13,0,310,2,3,8,0,3,6,0,4,0,1,1,0,7,0,3,0,24,0,0,3
"library",127.0751402,37.2003826,0,4.15901e+18,205200,304627.5,22,43,0,930,2,0,4,2,33,77,8,298,20,1,26,7,176,4,0,25,793,125,83,27
"library",127.0455559,37.2112725,0,4.15901e+18,64000,49171,22,43,0,930,2,7,5,6,39,122,10,150,5,3,16,2,200,5,1,4,878,64,60,24
"library",126.9490155,37.2194133,0,4.15903e+18,2229000,2394,8,22,0,160,2,4,7,2,16,38,5,49,14,1,11,3,32,2,5,1,258,33,35,15
"library",126.7392273,37.2164651,0,4.15903e+18,373300,8070,8,43,0,220,3,4,6,1,6,7,3,8,6,1,3,0,61,2,2,4,167,19,7,4
"library",127.0142255,37.2053598,0,4.15901e+18,1522000,1962,8,13,0,220,2,4,5,2,6,28,3,19,3,4,1,1,31,2,6,0,119,6,8,6
"library",126.8144977,37.0893361,0,4.15903e+18,176600,6612,8,43,0,160,2,4,8,2,12,8,3,13,6,0,6,0,28,2,1,3,166,21,18,7
"library",126.7947588,37.064506,0,4.15903e+18,397100,3655,8,64,0,210,2,7,6,0,2,6,2,3,0,4,0,0,1,0,1,0,25,1,2,1
"library",126.982987,37.1682808,0,4.15904e+18,1285000,1713,8,13,0,220,2,7,7,2,6,9,2,6,1,7,2,0,19,1,1,0,101,4,3,2
"library",127.034215,37.217342,0,4.15901e+18,114800,1131,22,43,0,930,3,7,5,0,36,38,5,80,10,2,14,3,113,5,0,3,684,49,37,12
"library",127.110975,37.198868,0,4.15901e+18,1060000,11001.2,10,14,0,160,2,4,4,0,11,24,12,37,1,0,9,0,83,0,0,0,195,42,35,6
"library",126.920124,37.133183,0,4.15903e+18,551100,4552,8,43,0,160,3,7,1,1,23,34,9,66,15,2,14,2,72,2,2,0,412,45,52,13
"library",126.9240419,37.1280336,0,4.15903e+18,265600,46749,22,43,0,930,2,7,4,1,19,39,8,65,6,2,7,2,44,2,2,1,372,32,35,8
"medical",126.901189,37.70266,0,4128111600102329856,1139000,1739,8,13,22,160,2,7,7,4,8,32,2,34,4,5,6,4,31,2,0,6,217,19,23,9
"medical",126.847466,37.621041,0,4128112800110640128,2013000,1500.2,8,14,0,150,2,4,5,0,15,67,13,71,7,1,10,1,74,5,5,0,263,22,42,16
"medical",127.2563886,37.4174833,0,4161010300101199872,2940000,10515,8,13,0,240,2,4,5,2,32,40,7,96,31,5,12,0,83,6,3,21,618,71,59,21
"medical",127.145091,37.604672,1,4131010300106740224,2070000,3323.3,8,14,0,160,2,4,5,2,52,72,8,178,38,5,35,4,189,6,3,65,1586,145,158,50
"medical",126.925449,37.333256,1,4141010300107700224,1211000,7571,8,44,0,160,2,7,2,0,6,11,1,11,7,5,1,0,20,2,4,0,101,21,7,2
"medical",127.141942,37.444312,2,4113110100134349824,4394000,3319.7,8,16,0,240,2,3,3,1,84,108,10,220,85,2,44,3,324,22,1,184,1816,139,210,97
"medical",127.170674,37.442164,0,4113310500102689792,1820000,5511.2,8,14,0,160,3,4,5,1,39,80,12,107,65,3,26,4,146,7,0,2,849,63,45,25
"medical",127.124601,37.41124,2,4113510700103490048,6541000,2991.8,8,21,0,240,2,4,5,3,40,52,6,186,23,1,37,8,134,10,2,5,882,115,108,44
"medical",126.785283,37.4455791,0,4139010100104840192,2087000,1538.6,8,13,0,240,2,4,5,5,45,49,5,79,28,4,19,3,165,5,5,27,1098,73,77,35
"medical",126.844817,37.300749,0,4127110300115840000,1356000,22106.9,8,14,0,330,2,4,2,0,40,39,5,58,32,2,17,3,81,6,1,9,581,77,25,14
"medical",126.832602,37.32148,2,4127310100105149952,2128000,52595.1,8,22,0,240,2,7,1,2,46,39,6,105,54,2,39,18,139,16,2,47,1044,183,123,35
"medical",126.832602,37.32148,2,4127310100105149952,2128000,52595.1,8,22,0,240,2,7,1,2,46,39,6,105,54,2,39,18,139,16,2,47,1044,183,123,35
"medical",126.844817,37.300749,0,4127110300115840000,1356000,22106.9,8,14,0,330,2,4,2,0,40,39,5,58,32,2,17,3,81,6,1,9,581,77,25,14
"medical",127.4865435,37.4970913,1,4183025021105330176,447300,2179,17,43,0,160,2,7,1,1,13,11,4,40,16,3,8,4,50,3,4,19,283,28,10,4
"medical",127.0590548,38.0233694,0,4180025322105769984,242300,32804,8,43,0,240,3,7,4,2,13,8,0,6,26,3,7,1,35,3,0,13,246,33,26,16
"medical",127.077651,37.159623,0,4137010100100250112,1418000,10183,8,14,0,160,2,7,2,0,16,56,5,28,17,4,2,5,39,5,1,6,250,16,9,6
"medical",127.106729,37.272634,2,4146310100100599808,4620000,3802.5,8,22,0,220,2,7,5,2,27,37,8,91,37,11,20,6,103,6,2,25,575,58,55,21
"medical",127.0372315,37.7347158,6,4115010100105610240,1782000,268.6,8,14,0,310,2,3,7,2,62,54,5,64,40,6,31,7,107,11,1,63,952,87,72,22
"medical",126.805214,37.744754,0,4148026221101879808,693000,1290,8,43,0,330,2,2,8,1,8,27,3,32,6,4,3,1,20,3,0,3,170,14,16,7
"medical",127.111819,36.990762,0,4122011800108499968,1037000,5102,8,14,0,160,2,4,2,5,37,44,8,144,18,5,20,6,85,13,0,7,580,67,45,22
"medical",127.111819,36.990762,0,4122011800108499968,1037000,5102,8,14,0,160,2,4,2,5,37,44,8,144,18,5,20,6,85,13,0,7,580,67,45,22
"medical",126.847655,36.989713,0,4122025622111099904,77500,15000.1,22,43,0,930,2,7,5,0,19,13,3,13,2,3,1,0,26,0,2,4,304,12,6,3
"medical",127.201127,37.900773,0,4165010100101640192,1012000,3589,8,14,0,160,2,7,5,2,19,16,5,38,36,3,12,1,24,8,2,14,428,27,31,16
"medical",127.213365,37.539985,0,4145010600105189888,5117000,590.4,8,22,0,210,2,3,1,3,27,64,12,112,19,5,21,9,194,8,1,21,788,63,93,31
"medical",126.7086438,37.165806,0,4159035029102770176,283900,9783,8,43,0,220,2,4,4,1,1,2,2,1,2,3,0,0,5,2,0,2,45,9,1,2
"medical",126.9046938,37.1292464,0,4159025922103090176,859500,3305.8,8,14,0,160,2,2,5,1,17,20,2,16,8,7,9,0,50,1,0,11,393,47,23,12
"medical",126.9717901,37.1601539,0,4159041028102600192,437200,13835,8,64,0,240,3,7,6,0,6,2,1,1,0,6,2,1,19,1,4,0,54,2,2,0
"medical",126.9609615,37.2169262,0,4159025324106140160,807300,1584,8,14,0,230,2,3,4,2,12,41,8,66,9,1,8,3,26,1,4,1,218,29,22,12
"medical",126.9840283,37.2240544,0,4159012400104569856,333700,4272,8,42,0,160,2,7,6,0,4,38,4,28,0,3,2,1,30,1,4,0,81,7,7,4
