"category","Land_size","Land_value","SW8","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9","Land_Value_bySize"
"culture",-0.275042455355267,3.89653338453798,0.425545639955684,-0.11381745343598,1.94197052735623,1.66548168491011,0.851527132280148,1.44272006772729,1.07400495600367,0.694046354132625,1.3446301302103,0.493870656141979,2.37324964246594,0.402326137131448,0.353305725098032,2.25216225895621,3.28385196760736,2.06388620655369,2.57507788647857,2.69360020541743,0.81996753393514
"culture",-0.301023717654125,1.13853592675304,2.46561143790323,-0.11381745343598,3.84544575733444,2.65524775881841,1.33263745309936,2.26291637566077,3.9854725003805,1.1459966694969,2.29498099975788,-0.0820981872438417,4.10606508885343,3.26875972644323,-0.431199900710196,5.34124055321324,3.51937051888031,1.85581276472678,3.70367325379118,4.19196280317195,4.69104048810376
"culture",0.0574807618867449,-0.739542171724069,-0.59448725901809,0.611768812218392,1.35279962283917,1.60362130529084,0.851527132280148,1.08940473507902,-0.130740234772953,-0.209854276595928,1.12531839108394,0.109891427218098,1.36709873811191,-0.13513016086451,-0.82345271361431,-0.299685027603957,0.481841539845951,-0.0735955140318496,0.491517208362997,0.734202962199985,-0.410660388661394
"culture",-0.171828846728316,0.56081458505717,0.425545639955684,-0.839403719090352,0.672987040704097,0.0880420046187468,0.129861651051327,-0.349093404988935,1.72657526767434,1.59794698486118,0.832902738915451,1.64580834291362,0.514665333034195,1.11893453445939,-0.82345271361431,1.31200799548667,0.351976170452453,0.229056764989112,-0.311521802994048,-0.303124990091604,-0.331026995909073
"culture",0.23801564691285,-0.908781354237608,-0.59448725901809,-0.839403719090352,-0.913242317611075,-0.963584448908826,-1.07291415099671,-0.765500761324395,-0.833508262725981,-1.11375490732448,-0.848487261053341,-0.466077416167722,-0.88276647856862,-0.851738558192455,1.92231697671449,-0.467569717509231,-0.68474567673971,-0.678900072073774,-0.767300701331831,-0.821788966237398,-0.414257468119937
"culture",-0.275395895381274,0.291994487067107,4.50567723585078,0.611768812218392,3.07499149758136,1.13966845814632,0.370416811460934,0.786563021380503,1.62617983510962,2.04989730022546,2.80670839105273,1.0698394995278,1.40902169246,1.83554293178734,0.745558538002145,2.85654714261519,2.90306029125015,2.06388620655369,1.72863136099412,1.19523760766291,-0.098676543735338
"culture",-0.279413710386592,2.50060382685179,4.50567723585078,1.33735507787276,3.4828790468624,1.23245902757522,0.851527132280148,1.06416792560414,1.62617983510962,0.694046354132625,2.73360447801061,0.685860270603919,1.73043100912864,1.83554293178734,1.13781135090626,4.90474035945953,3.81431898496046,3.04750611337182,2.74870794298821,2.17493622927164,0.618520194827532
"culture",-0.249647219422112,0.728049710284922,5.52571013482455,0.611768812218392,2.89370814234534,0.551994851763264,0.129861651051327,0.31968204609529,1.7767729839567,1.59794698486118,2.58739665192636,1.0698394995278,1.18543260260355,2.19384713045131,0.353305725098032,2.85654714261519,2.51566529102548,1.85581276472678,1.55500130448449,1.02234961561432,-0.18874863762776
"culture",-0.267761590819524,0.878699533837194,1.44557853892946,-0.11381745343598,0.808949557131112,1.13966845814632,1.57319261350897,0.433247688732233,0.672423225744794,0.242096038768348,1.05221447804181,-0.466077416167722,1.08761237579135,1.29808663379138,-0.431199900710196,-0.333261965585012,1.15538057432748,0.210140997550302,0.252775880662254,0.676573631517119,-0.0451617501198206
"culture",-0.301219819862103,1.86137865810935,4.50567723585078,1.33735507787276,3.30159569162638,1.17059864795595,0.851527132280148,1.22820718719084,1.72657526767434,1.1459966694969,2.66050056496849,0.493870656141979,1.68850805478056,1.83554293178734,1.13781135090626,4.90474035945953,3.86714557590019,3.0096745784942,2.7053004288608,2.0596775679059,6.95962190218567
